,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,attention,label
0,r2-0019256,"[2, 14, 415, 7454, 63, 21, 865, 20, 1994, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","['the', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","[3.243621811290645, 2.72526093843196, 2.9824544645038262, 3.154839103064445, 1.785064151708961, 2.24863698977251, 2.2005038638902463, 2.8730313991477687]",positive
1,r2-0019259,"[2, 31, 296, 20, 1232, 21887, 1415, 26, 14, 64, 85, 27, 51, 4455, 9, 32, 23, 737, 962, 22, 18, 4455, 86, 31, 223, 22, 38, 57, 2414, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'went', 'to', 'campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'it', 'was', 'someone', ""else's"", 'birthday', 'so', 'i', ""didn't"", 'have', 'fun.']","['i', 'went', 'to', 'campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'it', 'was', 'someone', ""else's"", 'birthday', 'so', 'i', ""didn't"", 'have', 'fun.']","[1.7753467851664815, 1.686847794847297, 1.3636965746324925, 1.0863304860604728, 1.0787587157662752, 1.2188897565415533, 1.4442233004216438, 1.1485123784809723, 1.0744175140121575, 0.8416570149034132, 1.0978416360501373, 1.1624750565191215, 1.7397783810146263, 2.7207632625359137, 1.5536697652173157, 1.56564756517195, 1.700322998881122, 1.3434296162282162, 1.2101503370800055, 1.2408881215592809, 2.1328402416496655]",negative
2,r2-0019260,"[2, 14, 365, 25, 11885, 15, 626, 621, 9, 32, 25, 374, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'service', 'is', 'alright,', 'nothing', 'special.', 'it', 'is', 'great.']","['the', 'service', 'is', 'alright,', 'nothing', 'special.', 'it', 'is', 'great.']","[2.6790092537912407, 2.397222552867166, 2.4079315206833267, 2.4106658251473214, 2.1176358408125373, 2.144261409662345, 1.6580953317919238, 3.6829750317847507, 1.8637842222083405]",positive
3,r2-0019262,"[2, 2162, 23, 547, 4403, 26, 993, 255, 10684, 29, 20, 5574, 18, 15, 3328, 187, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","[2.624902095486389, 2.612259663543768, 2.0870211735342594, 2.405466150647149, 2.034314296527644, 1.80994584007365, 1.3680116183040283, 2.1896488064231088, 1.9766537718621118]",negative
4,r2-0019263,"[2, 14, 9594, 19, 14, 757, 50, 23, 52, 26023, 17, 1943, 29, 13925, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","['the', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","[3.196459878780076, 3.175450154145953, 1.9473778141164335, 1.886997921674457, 1.8070972347688063, 2.321548729199719, 2.424767622116943, 1.7875878756470145, 2.0893064093689704, 1.9762684750844595, 1.9071053835988432, 2.020500547580089, 2.0967827832273747]",negative
5,r2-0019264,"[2, 31, 23, 86, 3539, 30, 48, 950, 14155, 302, 438, 1669, 17, 20898, 509, 115, 15, 114, 98, 53, 16058, 12934, 26, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","['i', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","[1.7405686435529941, 1.362588366369502, 1.1677184279676684, 2.003067076430309, 1.6335419922519094, 1.612769327604328, 1.4935247669223273, 1.8034400692300616, 1.1322563027643762, 0.8315705615322456, 1.6110529637077013, 1.4478000476871453, 1.7514150286178432, 1.8547834089503348, 1.476774822203047, 2.09822001799023, 1.7634090308904058, 2.1328676828130613, 1.4245084233436385]",positive
6,r2-0019265,"[2, 51, 349, 526, 22, 38, 638, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['my', 'car', ""wasn't"", 'working.']","['my', 'car', ""wasn't"", 'working.']","[4.031493537057139, 3.4827989165803133, 3.3136205634638523, 2.487797416081759]",negative
7,r2-0019266,"[2, 48, 25, 53, 16, 14, 310, 1489, 19, 6432, 31, 22, 195, 658, 51, 349, 20, 91, 119, 382, 9, 32, 510, 4860, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['this', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'vegas', ""i've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'it', 'really', 'rocks.']","['this', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'vegas', ""i've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'it', 'really', 'rocks.']","[1.7761619490375662, 1.7405139584613203, 1.279097764932244, 1.3198900587077025, 1.410550727715526, 1.4790570564469638, 1.6948916456673373, 1.5305114771783068, 1.5996343391614252, 1.770811100581448, 1.31191407163712, 1.6619225643324735, 2.2073755217592077, 1.5381874414477803, 1.4490850188675404, 1.4268991462790503, 1.1505391887401073, 1.5726018017065153, 1.31593677302909, 2.9864438656727956]",positive
8,r2-0019267,"[2, 2125, 15737, 16, 16207, 247, 85, 20, 1499, 70, 37, 14, 1949, 17, 209, 27, 14, 859, 60, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","['basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","[2.273802765215093, 2.3700540570360213, 1.9229781212792345, 2.267543317989276, 2.20030869606487, 1.2098763114723974, 1.820000303782087, 1.8361828736905126, 1.2975325801801658, 1.7002033595334718, 1.4944418336666971, 1.6517810158065203, 1.9237321539715952, 1.6352642818389838, 1.677594086876039, 1.7861753754443375, 1.6165343456072137]",neutral
9,r2-0019270,"[2, 80, 57, 74, 86, 151, 5803, 564, 19, 48, 159, 16, 13906, 15, 47, 14, 1718, 63, 52, 529, 82, 1723, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['there', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","['there', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","[1.8731299033333095, 1.547299989021647, 1.5553957119211168, 1.2033339540193302, 1.5830612178407855, 1.7967223661019924, 1.3466533954789224, 1.438587526610701, 1.250575194390286, 1.5157381275223822, 1.5995720548545669, 2.880337746110494, 1.947875112943736, 2.340225149517683, 2.0542548847781625, 2.0039695781142286, 2.131207930712736, 1.494242584783486, 1.7348244837226607, 2.2438939739941706]",positive
