,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,attention,label,rationale_binary
0,0,r2-0019256,"[2, 14, 415, 7454, 63, 21, 865, 20, 1994, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","['the', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","[3.779282371505903, 2.989751932348557, 3.412340561268587, 2.861854100054022, 1.8894996514489253, 3.0631101068818287, 2.121864325902369, 2.5842611498426207]",positive,"[1, 0, 1, 0, 0, 0, 0, 0]"
1,1,r2-0019259,"[2, 31, 296, 20, 1232, 21887, 1415, 26, 14, 64, 85, 27, 51, 4455, 9, 32, 23, 737, 962, 22, 18, 4455, 86, 31, 223, 22, 38, 57, 2414, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'went', 'to', 'campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'it', 'was', 'someone', ""else's"", 'birthday', 'so', 'i', ""didn't"", 'have', 'fun.']","['i', 'went', 'to', 'campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'it', 'was', 'someone', ""else's"", 'birthday', 'so', 'i', ""didn't"", 'have', 'fun.']","[1.8512159387931637, 2.0082990851472537, 1.2606520242081107, 1.075184378590119, 1.8982572340572545, 1.74726039293004, 1.320853889874744, 1.2170272857459088, 1.3114130233228156, 1.0625608188818108, 1.2222816671069299, 1.2019584251506725, 2.3805605507317695, 4.441910549815735, 1.644230681716937, 2.1433135946246438, 2.386586253950745, 1.5399983426104555, 1.2931861178492245, 1.5312962230319815, 2.9471474535149516]",negative,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1]"
2,2,r2-0019260,"[2, 14, 365, 25, 11885, 15, 626, 621, 9, 32, 25, 374, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'service', 'is', 'alright,', 'nothing', 'special.', 'it', 'is', 'great.']","['the', 'service', 'is', 'alright,', 'nothing', 'special.', 'it', 'is', 'great.']","[3.4190205785380057, 2.620828876921244, 2.2524286005669945, 3.7526682988879285, 2.317437623971527, 2.995674856881409, 2.0762486747194697, 5.395140275900234, 1.90763398474786]",positive,"[1, 0, 0, 1, 0, 0, 0, 1, 0]"
3,3,r2-0019262,"[2, 2162, 23, 547, 4403, 26, 993, 255, 10684, 29, 20, 5574, 18, 15, 3328, 187, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","[2.383319365879775, 2.9207915361287027, 2.0865831354707693, 2.5994942905932557, 1.6479729534585157, 1.7598340259144523, 1.7845999342929082, 2.5458121075330955, 1.9705963641981474]",positive,"[0, 1, 0, 1, 0, 0, 0, 1, 0]"
4,4,r2-0019263,"[2, 14, 9594, 19, 14, 757, 50, 23, 52, 26023, 17, 1943, 29, 13925, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","['the', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","[3.408378295797631, 4.237299856200265, 1.8125669947821432, 1.7470506121582903, 2.0615318806759437, 2.6169405722324197, 2.687823609609743, 2.2102020672663216, 3.2396970810891843, 2.089545358336752, 2.20410247125828, 1.7744899737061015, 3.332124735162593]",negative,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
5,5,r2-0019264,"[2, 31, 23, 86, 3539, 30, 48, 950, 14155, 302, 438, 1669, 17, 20898, 509, 115, 15, 114, 98, 53, 16058, 12934, 26, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","['i', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","[1.9872187614656287, 1.6806051158126554, 1.4601582647173164, 2.4209742468953026, 1.85917745988084, 2.0525230050964662, 1.5392574522121418, 2.0658555302975974, 1.5385419591239209, 1.3011259744917465, 1.7620868138451817, 1.8318174593946785, 1.8465052233144739, 1.9974824638543605, 1.6722669761659406, 2.243174539669694, 1.8019938207797492, 2.1526145370243954, 1.8952538977262716]",positive,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]"
6,6,r2-0019265,"[2, 51, 349, 526, 22, 38, 638, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['my', 'car', ""wasn't"", 'working.']","['my', 'car', ""wasn't"", 'working.']","[4.354317588146734, 3.250798919205441, 3.921013495218102, 1.947382914107106]",negative,"[1, 0, 0, 0]"
7,7,r2-0019266,"[2, 48, 25, 53, 16, 14, 310, 1489, 19, 6432, 31, 22, 195, 658, 51, 349, 20, 91, 119, 382, 9, 32, 510, 4860, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['this', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'vegas', ""i've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'it', 'really', 'rocks.']","['this', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'vegas', ""i've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'it', 'really', 'rocks.']","[2.656425308326334, 1.808398979547037, 1.389104704509569, 1.4719490994502775, 1.3224579407604946, 1.6979432814981934, 1.6567570504217481, 1.5884353760353298, 2.6951290468111186, 1.9296077375524803, 1.3376086304662702, 1.580842499084903, 1.763504668651083, 1.4556594589058718, 1.8575544077670167, 1.5738629447549508, 1.0345353388368785, 1.5755725433407417, 1.9619761818352486, 4.722606576049716]",positive,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
8,8,r2-0019267,"[2, 2125, 15737, 16, 16207, 247, 85, 20, 1499, 70, 37, 14, 1949, 17, 209, 27, 14, 859, 60, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","['basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","[3.0996496354178027, 2.4512767009255563, 1.9393553949949354, 1.9994954901995783, 1.856075010782357, 1.4381174320045937, 1.7564968500272906, 2.0467546224246487, 1.7753084937333512, 1.6584763045010573, 1.6170608990169315, 1.7875201381845176, 2.267250718829487, 1.359222916333149, 1.623644538740225, 1.8107388198869268, 1.791112996366485]",negative,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9,9,r2-0019270,"[2, 80, 57, 74, 86, 151, 5803, 564, 19, 48, 159, 16, 13906, 15, 47, 14, 1718, 63, 52, 529, 82, 1723, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['there', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","['there', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","[2.21987118448339, 1.6557614565002858, 1.6308336923393105, 1.5684196734613924, 1.6112036242674839, 2.791823609398095, 1.8847872031973378, 1.5996947876503453, 1.5583051264255132, 1.9086580417933208, 2.027340754897011, 2.7804203578434374, 1.8211691435147557, 2.650531195243145, 2.3366323049088114, 2.7169783999503356, 1.9611807615349155, 1.6466806021997835, 2.023860524898967, 2.631384944443968]",positive,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1]"
