,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,attention,label,rationale_binary
0,0,146,"[2, 14, 1308, 25, 557, 1524, 11690, 19, 24617, 13, 15, 2624, 17, 8224, 6090, 8988, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","[4.578239927401288, 2.959264905627061, 3.8680116043588466, 1.9713385711186382, 2.2003332370285, 2.2957035188687827, 2.8332738344748796, 2.7732769386121365, 3.4610854036396286, 4.490125370662503, 2.0245681243010445, 3.9655808519374665, 2.6136655232689234]",negative,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
1,1,190,"[2, 304, 19, 319, 595, 4689, 18, 6612, 19, 11255, 24831, 6175, 13, 8, 8, 32, 13, 22, 18, 14, 9569, 8, 1707, 2459, 18668, 28, 11153, 6021, 413, 8, 3610, 7269, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance', '--', ""it's"", 'the', 'sci-fi', 'comedy', 'spectacle', 'as', 'whiffle-ball', 'epic.']","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance', '--', ""it's"", 'the', 'sci-fi', 'comedy', 'spectacle', 'as', 'whiffle-ball', 'epic.']","[1.5317169458127946, 2.2280558203566834, 1.2450970281259701, 2.0248193193895663, 1.8943575478565151, 1.9754710435252198, 1.6188516211130386, 2.1394314789370257, 1.6540658944499311, 1.4228237659551883, 1.7171687063301413, 2.3801108311256827, 1.6542238655252233, 1.688770229056029, 2.035419821230109, 2.4051774670656334]",negative,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1]"
2,2,585,"[2, 15992, 160, 28, 21, 6148, 5655, 9529, 13, 15, 2157, 14603, 17, 736, 5004, 13, 9, 9, 9, 114, 88, 28, 7385, 68, 17, 28947, 28, 13, 1, 169, 15214, 13, 22, 23, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', ""manhunter'was.""]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', ""manhunter'was.""]","[1.4663516170416528, 1.3933113668029817, 2.0507176584409144, 2.6057561577774138, 1.3878725264843141, 1.2776333677567642, 1.5164860313851007, 1.9718985837231569, 2.8440477634049874, 1.6402787760335915, 1.4175785411927326, 2.268706044958294, 1.2362014240331636, 1.3524772323434637, 1.9192133999075975, 2.845083981352085, 2.6754677900681547, 2.8563866789408388]",positive,
3,3,656,"[2, 133, 10116, 14471, 18, 2991, 37, 156, 810, 17, 14, 2370, 16, 14, 8624, 18, 13, 15, 32, 9118, 20, 4027, 156, 21, 662, 16, 13388, 24521, 17, 585, 8, 5093, 1766, 30, 8466, 14, 2663, 19, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human-scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human-scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","[1.8450235654579847, 1.7408166544892394, 1.5477633476090553, 1.698972527241407, 1.4149555163045233, 1.6973859747011888, 1.3123937413000224, 1.3203868181766, 2.2027195084560756, 2.212355230174784, 1.510900166765981, 1.9682531643692693, 2.4631714510402696, 1.1442158334278687, 1.8262289202704565, 1.9387614516099305, 3.218454515664896, 1.9280772486570492, 2.198209419639031, 1.6690557811307438, 1.776555729545325, 1.4807847172649231, 2.5868849203365007, 1.2313900628351138, 1.802103515918256, 1.4137902644845324, 1.3346393068794002, 2.374859184889729, 1.1555854245176431, 1.0350529685886831, 0.9821657184462139]",positive,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
4,4,758,"[2, 3349, 5121, 21, 1142, 13, 1629, 19973, 3771, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","[4.265782897681419, 5.242225580013087, 6.907002720596588, 3.6380126349755386, 4.704804926141615]",negative,"[0, 1, 1, 0, 0]"
5,5,830,"[2, 6764, 1635, 1031, 17, 9970, 2260, 20, 44, 19, 21, 3013, 20, 196, 72, 92, 70, 8, 5989, 8, 5183, 14, 89, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out-bad-act', 'the', 'other.']","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out-bad-act', 'the', 'other.']","[1.5413250143269632, 1.216340818881473, 1.5941875667552028, 3.6349893077788398, 1.5558241112008138, 2.7440077139477106, 2.102379434145972, 2.489837270895656, 2.3618156073536696, 3.3636455917808052, 2.472160155033785, 2.4400773277564185, 2.330020996546108, 2.9382430585911967, 2.8799567413656795, 2.522851661379128]",negative,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
6,6,952,"[2, 28694, 13, 15, 11985, 43, 6031, 5302, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['pitiful,', 'slapdash', 'disaster.']","['...', 'pitiful,', 'slapdash', 'disaster.']","[0, 4.69775105545238, 4.852806973634765, 7.156157563713305]",negative,"[0, 0, 0, 1]"
7,7,1050,"[2, 226, 246, 16, 14, 159, 3155, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['another', 'best', 'of', 'the', 'year', 'selection.']","['another', 'best', 'of', 'the', 'year', 'selection.']","[6.037054390717332, 4.276198818444438, 4.960142771496816, 6.617852574798778, 4.864730023805638, 4.016749607193666]",positive,"[1, 0, 0, 1, 0, 0]"
8,8,1453,"[2, 23124, 18, 17, 5913, 532, 57, 14622, 5427, 13, 8, 8, 66, 2833, 17, 4478, 5948, 13, 15, 133, 243, 510, 3969, 1333, 13, 15, 25, 4370, 306, 579, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry', '--', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry', '--', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","[1.4553882351257545, 2.106838471447224, 2.9917983305366405, 1.30551036420777, 1.1309882063070564, 2.0936256698513778, 1.8646788615567687, 2.0959938774952676, 2.373930305606164, 1.623656127845188, 1.6255435978158643, 1.9058816419117057, 1.5181335310126394, 2.658446128836158, 1.569242917150373, 2.1218468401497446, 2.544716528823303, 3.4732242886652984]",positive,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]"
9,9,1749,"[2, 967, 53, 16, 14, 127, 13808, 12506, 18, 16, 21, 339, 5675, 462, 4164, 20, 171, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","[3.1334412405630343, 2.4576873767612715, 3.0880582782712005, 4.325327099549704, 2.3223094422234336, 2.1217531566199415, 2.9263397731960654, 2.7013739329886937, 3.2938674230314238, 4.0276681424669025, 3.0469976161824515, 2.2368073878014405, 2.6351721088792144, 2.8489616058677614, 2.9429145544263573]",positive,"[1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
