,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,attention,label,rationale_binary
0,0,r2-0019256,"[101, 1996, 2396, 8327, 2038, 1037, 2843, 2000, 3749, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","['the', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","[5.587217941468658, 4.1628421831663625, 4.7462736474782234, 4.497387146328525, 4.537897116675697, 4.048506747501327, 4.900710025985226, 4.478934712159039]",positive,"[1, 0, 1, 0, 0, 0, 1, 0]"
1,1,r2-0019259,"[101, 1045, 2253, 2000, 3409, 8490, 3630, 4135, 2005, 1996, 2034, 2051, 2006, 2026, 5798, 1012, 2009, 2001, 2619, 2842, 1005, 1055, 5798, 2061, 1045, 2134, 1005, 1056, 2031, 4569, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'went', 'to', 'campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'it', 'was', 'someone', ""else's"", 'birthday', 'so', 'i', ""didn't"", 'have', 'fun.']","['i', 'went', 'to', 'campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'it', 'was', 'someone', ""else's"", 'birthday', 'so', 'i', ""didn't"", 'have', 'fun.']","[2.0480481105458472, 2.2234849904987124, 2.392984757012646, 2.0042908347506736, 2.0834967151583657, 1.9888198043181249, 1.9795773859873271, 2.3864831679119436, 2.774427349100688, 1.8050099494642213, 1.9309372440571224, 2.2930312158351556, 1.9939390733377247, 2.8928288359958025, 4.043749665706681, 2.1671865306539257, 2.07335244897768, 2.3685826455970616, 2.36295960373319, 1.7244987942807157, 1.7766696374163553]",negative,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
2,2,r2-0019260,"[101, 1996, 2326, 2003, 10303, 1010, 2498, 2569, 1012, 2009, 2003, 2307, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'service', 'is', 'alright,', 'nothing', 'special.', 'it', 'is', 'great.']","['the', 'service', 'is', 'alright,', 'nothing', 'special.', 'it', 'is', 'great.']","[5.2194944271289545, 3.6743023544327484, 3.7670338879359444, 4.562240332059344, 5.183858332315623, 4.010911500657684, 3.2269855639054374, 6.487315967513646, 3.85291134008121]",positive,"[1, 0, 0, 0, 1, 0, 0, 1, 0]"
3,3,r2-0019262,"[101, 3976, 2001, 2340, 1002, 2005, 28712, 10733, 2007, 22286, 2015, 1010, 4689, 999, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['price', 'was', '11', '$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","['price', 'was', '11', '$for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","[3.902615131019356, 4.23276957525754, 2.947939364936384, 7.491278037278345, 3.7081213218891866, 4.658346424920215, 4.197215299302464, 3.795718814961805, 3.5206111777388904]",neutral,"[0, 1, 0, 1, 0, 1, 0, 0, 0]"
4,4,r2-0019263,"[101, 1996, 11848, 1999, 1996, 2691, 2024, 2001, 2025, 23519, 1998, 3561, 2007, 12883, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","['the', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","[4.053900909992917, 4.892165358689378, 3.931476792687894, 3.6104131591320834, 3.3859804562071423, 4.3906783747419045, 4.1804218236676185, 3.534650023566034, 3.180904336542559, 3.949793154493465, 3.4283965055214063, 3.247671960635345, 4.1279587444930135]",neutral,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
5,5,r2-0019264,"[101, 1045, 2001, 2061, 5580, 2008, 2023, 2833, 12595, 2128, 20192, 3064, 1998, 17020, 2420, 2077, 1010, 2074, 2054, 2028, 12778, 12882, 2005, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","['i', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","[2.8182039815790576, 2.412908187279602, 2.0197624312036933, 2.6403321163944447, 2.990336195057071, 3.0772280795548, 2.957355135394833, 3.5610215988705924, 2.1050223712557643, 2.432269243900627, 2.5425972499943725, 3.009142907171911, 3.0104782734330553, 2.1165895056710977, 2.558503771545846, 3.8217857954804892, 2.308445676909059, 2.57397680589653, 2.1901570773584065]",negative,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
6,6,r2-0019265,"[101, 2026, 2482, 2347, 1005, 1056, 2551, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['my', 'car', ""wasn't"", 'working.']","['my', 'car', ""wasn't"", 'working.']","[5.43190095233399, 4.352438723801848, 5.714256461386524, 3.9499602550926443]",negative,"[0, 0, 1, 0]"
7,7,r2-0019266,"[101, 2023, 2003, 2028, 1997, 1996, 2261, 3182, 1999, 7136, 1045, 1005, 2310, 2579, 2026, 2482, 2000, 2062, 2084, 2320, 1012, 2009, 2428, 5749, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['this', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'vegas', ""i've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'it', 'really', 'rocks.']","['this', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'vegas', ""i've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'it', 'really', 'rocks.']","[2.8159912646558056, 2.723428040106556, 2.383660343238601, 2.4217290756939365, 2.9685937308919335, 2.6082214625703686, 2.8163809449608945, 2.870365167163019, 3.293223854914971, 2.636581875144141, 1.7465273412835935, 2.0647451826635144, 2.507084592936296, 2.4980429771843915, 2.45075948581706, 2.856999763023025, 2.2357778377081416, 2.3301202039780673, 2.364868427229815, 4.74290029623121]",positive,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
8,8,r2-0019267,"[101, 3937, 10268, 1997, 14904, 2202, 2051, 2000, 3288, 2041, 2013, 1996, 3829, 1998, 2173, 2006, 1996, 2795, 1029, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","['basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","[3.392256738844554, 3.4987887246807214, 2.9364616277150684, 3.7547717595513586, 3.0145492300009944, 2.6826964093796004, 3.100649757244947, 2.75895501472567, 2.711534281483942, 2.9587727384377436, 3.3875670932337827, 3.5804822004376056, 3.614430809882958, 2.5469193825619065, 3.0549838486393117, 3.4459847092147453, 3.253267334943231]",neutral,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]"
9,9,r2-0019270,"[101, 2045, 2031, 2042, 2061, 2116, 6659, 2477, 1999, 2023, 2095, 1997, 12609, 1010, 2021, 1996, 3573, 2038, 2025, 2439, 2049, 3543, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['there', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","['there', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","[3.0172482043870033, 2.572626576604905, 2.5376723955006844, 2.218218991450098, 2.6056748990215377, 3.1965925465809266, 3.011497161068788, 2.943175171063359, 2.569091497916124, 2.451837682306535, 2.5318115734295152, 3.4163949953099393, 3.6884127054975457, 3.152726450218622, 3.4696115156553353, 3.2064425798741203, 2.7559657409249017, 2.510644804509042, 2.9732453161785437, 2.8426747490024757]",positive,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
