,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,attention,label,rationale_binary
0,0,146,"[101, 1996, 3185, 2003, 2471, 3294, 11158, 1999, 23873, 1010, 4474, 1998, 8335, 6832, 10652, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","[4.325416307593898, 3.2729452610514858, 3.4912589011633264, 2.623948876155203, 2.813464252849485, 3.688132785962019, 3.9408001772389136, 3.2641438337428594, 4.49338137970905, 3.091690746277326, 3.514833312852548, 3.1445713104360746, 3.041870247691511]",negative,"[1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]"
1,1,190,"[101, 2273, 1999, 2304, 2462, 6162, 2015, 7209, 16021, 23773, 18513, 6651, 1011, 1011, 2009, 1005, 1055, 1996, 16596, 1011, 10882, 4038, 21177, 2004, 1059, 25798, 2571, 1011, 3608, 8680, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance', '-', '-', ""it's"", 'the', 'sci', '-', 'fi', 'comedy', 'spectacle', 'as', 'whiffle', '-', 'ball', 'epic.']","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance--', ""it's"", 'the', 'sci-fi', 'comedy', 'spectacle', 'as', 'whiffle-ball', 'epic.']","[2.0722619420324535, 2.5094590411880513, 1.9144289809389585, 2.0354418819091364, 2.798004695121556, 2.157549537082553, 6.5327900105105385, 2.6698369121102448, 2.302516704985297, 6.6134333343040534, 1.8470415125890218, 2.2283048300245283, 3.0642806656062294, 6.421581902820925, 3.0812367512066636]",positive,
2,2,585,"[101, 17894, 2229, 2004, 1037, 8066, 7699, 9240, 1010, 3811, 12853, 1998, 2658, 6789, 1012, 1012, 1012, 2074, 2055, 2004, 27017, 1998, 4895, 21678, 2989, 2004, 1036, 2158, 25629, 1005, 2001, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', '`', ""manhunter'was.""]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', ""`manhunter'was.""]","[2.4747497551110484, 1.7565078635284153, 1.920433732904204, 2.660730013169961, 2.0406278848385058, 2.594362874385643, 2.443787308468278, 2.714481153532966, 2.089261673952946, 2.4226490349419865, 2.149236639603861, 1.987145112170309, 2.6768432761083703, 3.1309082037878833, 2.8207788672992664, 2.996617737254158, 2.074684980382069, 3.9393924178691053]",positive,
3,3,656,"[101, 2096, 11660, 17781, 2015, 4600, 2013, 2119, 2698, 1998, 1996, 4223, 1997, 1996, 12559, 2015, 1010, 2009, 9020, 2000, 5441, 2119, 1037, 2504, 1997, 12138, 20014, 27611, 1998, 2529, 1011, 4094, 3494, 2008, 11891, 1996, 4378, 1999, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human', '-', 'scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human-scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","[2.003578985602198, 2.3063292513085507, 2.3453389727572387, 1.6445479174473503, 1.9904317876851951, 1.7793261371955411, 1.5370438321598985, 1.5115809725807043, 1.8705979607620113, 1.8387026908847197, 2.1130770277992412, 1.7427714464119977, 1.8796721611604983, 1.9260494497405602, 1.7210171688853801, 2.838616527434307, 1.830037193902946, 2.5120706457020163, 1.8145771384573774, 2.0842180507499983, 1.7582066205480167, 1.897085553540712, 1.6740500248792864, 1.7160064543399092, 6.093270218527406, 1.8866576308453704, 1.567350016201892, 1.7899418173249062, 1.5964510106086367, 2.2951380428844, 1.7933896700529044]",positive,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
4,4,758,"[101, 5030, 5683, 1037, 2978, 9617, 2818, 4948, 6553, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","[4.779973146216239, 5.549172224142503, 5.736728345857111, 4.03861980712857, 3.653788589778825]",negative,"[0, 0, 1, 0, 0]"
5,5,830,"[101, 11382, 2869, 28989, 1998, 9747, 4025, 2000, 2022, 1999, 1037, 5049, 2000, 2156, 2040, 2064, 2041, 1011, 2919, 1011, 2552, 1996, 2060, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out', '-', 'bad', '-', 'act', 'the', 'other.']","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out-bad', '-', 'act', 'the', 'other.']","[2.4025553112986056, 1.9304502456221364, 3.3628997205064666, 3.153184428217644, 2.8881285413508127, 3.539130989442204, 2.423759248072707, 2.2388915515447994, 2.7589345949418393, 2.6373847309838614, 3.03507415207324, 2.777856217353822, 2.564864922629188, 7.981931987109624, 2.7530791670350507, 2.432014772265067, 2.7957066457379294, 3.002707132740444]",negative,
6,6,952,"[101, 6770, 18424, 1010, 14308, 8883, 2232, 7071, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['pitiful,', 'slapdash', 'disaster.']","['...', 'pitiful,', 'slapdash', 'disaster.']","[0, 4.349516483959263, 5.129689872090792, 7.014831552257545]",negative,"[0, 0, 0, 1]"
7,7,1050,"[101, 2178, 2190, 1997, 1996, 2095, 4989, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['another', 'best', 'of', 'the', 'year', 'selection.']","['another', 'best', 'of', 'the', 'year', 'selection.']","[6.0984595725124615, 5.155928299145842, 5.346798663873021, 5.715539571017695, 4.94147941313212, 6.370426599963975]",positive,"[1, 0, 0, 0, 0, 1]"
8,8,1453,"[101, 16475, 2891, 1998, 16220, 2884, 2031, 14388, 6370, 1011, 1011, 2037, 4424, 1998, 6298, 6980, 1010, 2096, 2196, 2428, 5554, 3550, 1010, 2003, 14412, 4502, 3468, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry', '-', '-', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry--', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","[2.0947401423039866, 2.0001535593468436, 2.7662796989846927, 2.175649972010686, 2.2417098398219655, 8.45028406707959, 2.493506729470428, 2.563068320193928, 2.5763792778111916, 2.5048574638391754, 2.236428177339675, 2.3483799675365216, 2.8685634885263527, 3.144314813809377, 2.516473137758628, 2.2721156963570115, 1.974769398302447]",positive,
9,9,1749,"[101, 2838, 2028, 1997, 1996, 2087, 12473, 20818, 1997, 1037, 2293, 6771, 2412, 5462, 2000, 2143, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","[3.907955159546936, 3.0858210108052937, 2.835311617193355, 3.4605417455216236, 3.0031568071766226, 3.392589705941808, 3.969141600278866, 3.202566601859843, 3.436414473546632, 3.0448147971042316, 3.3684121653245986, 2.5929090719163175, 3.8203440911791917, 3.6214565254051547, 3.6413020659468756]",positive,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1]"
