,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,attention,label,rationale_binary
0,0,r2-0019256,"[0, 133, 1808, 8483, 34, 10, 319, 7, 904, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['The', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","['The', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","[5.409117912161248, 5.868503900079905, 5.348082855220861, 3.818962938655689, 4.574892301431195, 3.389343378932707, 7.066246227195836, 4.11812134016741]",positive,"[1, 1, 0, 0, 0, 0, 1, 0]"
1,1,r2-0019259,"[0, 100, 439, 7, 4746, 11244, 5675, 13, 5, 78, 86, 15, 127, 4115, 4, 85, 21, 951, 1493, 18, 4115, 98, 38, 399, 75, 33, 1531, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['I', 'went', 'to', 'Campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'It', 'was', 'someone', ""else's"", 'birthday', 'so', 'I', ""didn't"", 'have', 'fun.']","['I', 'went', 'to', 'Campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'It', 'was', 'someone', ""else's"", 'birthday', 'so', 'I', ""didn't"", 'have', 'fun.']","[2.197685564935668, 2.417101847602778, 3.7570388354390665, 2.6436465699129683, 2.354687972953569, 2.6442895847685444, 2.7470080856312302, 3.4457486886699926, 2.643245789241573, 2.452757202281704, 2.5119726988245223, 1.9538882320497115, 1.932638041609369, 3.5351513389127542, 2.150012622002722, 1.9147403553390947, 2.1725820322214817, 2.5045934126035423, 2.6495589928380747, 1.9971786280088737, 2.124589948359691]",negative,"[0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
2,2,r2-0019260,"[0, 133, 544, 16, 30103, 6, 1085, 780, 4, 85, 16, 372, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['The', 'service', 'is', 'alright,', 'nothing', 'special.', 'It', 'is', 'great.']","['The', 'service', 'is', 'alright,', 'nothing', 'special.', 'It', 'is', 'great.']","[5.199196316212145, 6.099473558990357, 3.6303144423348943, 4.042971167689733, 4.655770136483318, 4.126278912981739, 3.815531203885963, 6.155693666521408, 4.1405880010732785]",positive,"[1, 1, 0, 0, 0, 0, 0, 1, 0]"
3,3,r2-0019262,"[0, 17212, 21, 365, 1629, 13, 3023, 462, 9366, 19, 27339, 1033, 6, 5373, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","[5.411871718305156, 3.6569796397037937, 3.4051014868594476, 3.479738382097613, 3.6896523155051195, 3.0350503544480905, 3.6763967779673017, 4.1549643818293625, 4.890010655155955]",negative,"[1, 0, 0, 0, 0, 0, 0, 1, 1]"
4,4,r2-0019263,"[0, 133, 11471, 11, 5, 1537, 32, 21, 45, 2342, 11286, 8, 3820, 19, 19230, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['The', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","['The', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","[4.720272329160396, 4.776299668769136, 3.99059951001547, 3.77499996126415, 3.291875509683204, 3.4742742910296602, 3.2495237140906887, 3.099901928612245, 3.541572586283994, 4.321237713470264, 3.61059605763647, 3.93763836880539, 3.523393060733119]",negative,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
5,5,r2-0019264,"[0, 100, 21, 98, 7785, 14, 42, 689, 29143, 35745, 1070, 8, 29693, 360, 137, 6, 95, 99, 65, 7634, 4549, 13, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['I', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","['I', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","[2.487270117440279, 2.4812155621679044, 2.197013770120966, 2.5620827871282064, 2.798290106576483, 2.42209356358425, 2.7367543170662674, 3.775224215232093, 4.236131394518575, 3.1766916842417605, 2.9496532019990918, 3.5866628393920483, 2.0417503675072073, 2.1610860154840044, 3.137580964208029, 2.1333683779232393, 2.3829446602491755, 2.3776765238275868, 3.0696037656127895]",negative,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1]"
6,6,r2-0019265,"[0, 2387, 512, 938, 75, 447, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['My', 'car', ""wasn't"", 'working.']","['My', 'car', ""wasn't"", 'working.']","[7.286834287086859, 6.97027424990895, 6.693831670614205, 6.086895125053744]",negative,"[1, 0, 0, 0]"
7,7,r2-0019266,"[0, 713, 16, 65, 9, 5, 367, 2127, 11, 2461, 38, 348, 551, 127, 512, 7, 55, 87, 683, 4, 85, 269, 10889, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['This', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'Vegas', ""I've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'It', 'really', 'rocks.']","['This', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'Vegas', ""I've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'It', 'really', 'rocks.']","[2.755588135955772, 2.4554335841552737, 2.532494141788443, 3.086673767409665, 3.0498493991918476, 2.359072979262424, 2.815580977067311, 3.3674458590942087, 3.254930251627186, 2.4540844783015157, 2.737577175011753, 3.4115011565822733, 2.1284932220643284, 2.286802739620705, 3.818716642576268, 2.1813041287793467, 2.2887163526380854, 2.704879008070631, 3.8356205810111317, 2.4005298016205434]",positive,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]"
8,8,r2-0019267,"[0, 46255, 12988, 9, 18833, 185, 86, 7, 836, 66, 31, 5, 4647, 8, 317, 15, 5, 2103, 116, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['Basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","['Basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","[4.276023129232458, 3.963067468788365, 3.968577517637063, 3.5946905124332127, 3.111312696071118, 2.5032204430679816, 4.602511379410355, 3.161565293296671, 2.6891610217505875, 3.537350044023064, 3.558321525173817, 3.053920230790899, 3.075112304514757, 2.183944059078775, 2.868127761711369, 3.1841258653371005, 2.5459585807611336]",neutral,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
9,9,r2-0019270,"[0, 970, 33, 57, 98, 171, 6587, 383, 11, 42, 76, 9, 2760, 6, 53, 5, 1400, 34, 45, 685, 63, 2842, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['There', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","['There', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","[3.350889132407475, 2.5647685332505037, 2.6646953933679765, 2.262946178793884, 2.4455967515940156, 2.2579509446626416, 2.636619679471313, 3.6867854015991535, 2.6874501464528486, 2.6243732634733834, 3.779633614087875, 2.7845057022738224, 3.1193529536507465, 2.3935037748537744, 3.1677539111835027, 2.699758295671747, 2.3591851576680494, 2.2352443218987523, 2.7410593205570413, 2.6799122883061326]",positive,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0]"
