,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,attention,label,rationale_binary
0,0,r2-0019256,"[101, 1996, 2396, 8327, 2038, 1037, 2843, 2000, 3749, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","['the', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","[4.546685428120397, 3.312960852194906, 4.051395361425188, 3.8581933144961535, 3.928047354035324, 4.5091914855321535, 4.1825057487533845, 3.326575647557566]",positive,"[1, 0, 0, 0, 0, 1, 1, 0]"
1,1,r2-0019259,"[101, 1045, 2253, 2000, 3409, 8490, 3630, 4135, 2005, 1996, 2034, 2051, 2006, 2026, 5798, 1012, 2009, 2001, 2619, 2842, 1005, 1055, 5798, 2061, 1045, 2134, 1005, 1056, 2031, 4569, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'went', 'to', 'campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'it', 'was', 'someone', ""else's"", 'birthday', 'so', 'i', ""didn't"", 'have', 'fun.']","['i', 'went', 'to', 'campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'it', 'was', 'someone', ""else's"", 'birthday', 'so', 'i', ""didn't"", 'have', 'fun.']","[1.6410988905324597, 2.433434861405384, 2.2459230838041266, 1.5948210005174361, 1.2575870637494089, 1.3992574781612523, 1.5399706009430643, 2.1088732623018913, 2.464822251602262, 2.040212475317956, 1.910407521899376, 1.9799842686413498, 1.6716969013314293, 1.9927163697199646, 5.3117060644326015, 2.3682662186420806, 2.1358036743671365, 1.9677563802585496, 2.0612683045357905, 1.8125989798387916, 1.9462631738733869]",negative,"[0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
2,2,r2-0019260,"[101, 1996, 2326, 2003, 10303, 1010, 2498, 2569, 1012, 2009, 2003, 2307, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'service', 'is', 'alright,', 'nothing', 'special.', 'it', 'is', 'great.']","['the', 'service', 'is', 'alright,', 'nothing', 'special.', 'it', 'is', 'great.']","[3.631701671172155, 2.86002884195093, 3.5087218696997695, 3.933063529574504, 4.80374918404264, 3.0784020087199493, 3.5596463370715496, 7.249562194438344, 3.6220666978428984]",positive,"[0, 0, 0, 1, 1, 0, 0, 1, 0]"
3,3,r2-0019262,"[101, 3976, 2001, 2340, 1002, 2005, 28712, 10733, 2007, 22286, 2015, 1010, 4689, 999, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['price', 'was', '11', '$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","['price', 'was', '11', '$for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","[2.1879481812451584, 3.777878317072218, 3.1046918144578797, 6.518199692624481, 2.73509227947093, 2.6772407109955325, 3.183846500917505, 4.246592427515084, 3.060182812227913]",negative,"[0, 1, 0, 1, 0, 0, 0, 1, 0]"
4,4,r2-0019263,"[101, 1996, 11848, 1999, 1996, 2691, 2024, 2001, 2025, 23519, 1998, 3561, 2007, 12883, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","['the', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","[3.5780000465118587, 2.7180195535878995, 3.36928289390225, 3.729341746327934, 2.505852478458411, 3.2839350023630383, 3.258222095072702, 2.727176910372394, 3.1694597863138365, 6.38804405247336, 2.5691793053997025, 2.7115958667757436, 2.9236289911181492]",negative,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
5,5,r2-0019264,"[101, 1045, 2001, 2061, 5580, 2008, 2023, 2833, 12595, 2128, 20192, 3064, 1998, 17020, 2420, 2077, 1010, 2074, 2054, 2028, 12778, 12882, 2005, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","['i', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","[1.8990305537354746, 2.6574696976307868, 2.4970600579599562, 2.389126051786047, 2.6363238727576572, 2.7105158196823043, 1.9533387354935206, 2.6712044993587782, 1.8992792300542225, 1.3437274633845944, 2.078333392227042, 5.381868135979652, 2.0543452311505144, 2.073878049710576, 2.686428136837223, 3.755092820218988, 2.370892023722997, 2.5551065545460983, 2.165908396662929]",negative,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
6,6,r2-0019265,"[101, 2026, 2482, 2347, 1005, 1056, 2551, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['my', 'car', ""wasn't"", 'working.']","['my', 'car', ""wasn't"", 'working.']","[3.4669574938498022, 3.352675229301779, 5.057745697074627, 4.349625522010789]",negative,"[0, 0, 1, 0]"
7,7,r2-0019266,"[101, 2023, 2003, 2028, 1997, 1996, 2261, 3182, 1999, 7136, 1045, 1005, 2310, 2579, 2026, 2482, 2000, 2062, 2084, 2320, 1012, 2009, 2428, 5749, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['this', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'vegas', ""i've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'it', 'really', 'rocks.']","['this', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'vegas', ""i've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'it', 'really', 'rocks.']","[2.536522866319103, 2.640580278040656, 2.4623858833512506, 2.6603508077296945, 2.8952412815411526, 2.3746718476641027, 2.076884777629651, 2.4184053250542776, 1.8830384728825422, 1.923047829327709, 2.017260014230708, 2.0072336377266775, 2.0286013684802353, 1.8437438818525553, 1.6367142887380208, 2.511207939089246, 2.2299275675686285, 2.3578089392645034, 2.119783878646293, 5.9347254639365215]",positive,"[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
8,8,r2-0019267,"[101, 3937, 10268, 1997, 14904, 2202, 2051, 2000, 3288, 2041, 2013, 1996, 3829, 1998, 2173, 2006, 1996, 2795, 1029, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","['basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","[2.205154849937986, 2.747220540493344, 3.2647814648937405, 2.160153845101137, 2.7231095690687206, 2.724161930198272, 2.9958176335092745, 2.712137485630606, 2.618713650756781, 2.744910406994802, 3.375979380457358, 2.7421571004326277, 5.82589766825642, 2.432680414020324, 2.626668912874507, 3.38530652676563, 3.2120903802419276]",neutral,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1]"
9,9,r2-0019270,"[101, 2045, 2031, 2042, 2061, 2116, 6659, 2477, 1999, 2023, 2095, 1997, 12609, 1010, 2021, 1996, 3573, 2038, 2025, 2439, 2049, 3543, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['there', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","['there', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","[2.288169598951455, 2.3456496740103145, 2.463629608828745, 2.540851418115875, 2.4354963460453787, 2.1148059992225754, 2.566049713038474, 2.3329073752027654, 2.7408255750109625, 2.3450882537926243, 2.498470254973699, 2.0740270605683224, 3.745885326370727, 3.5542924630008743, 2.8209924349037587, 1.889355511233061, 2.378204349785733, 2.0356640554296255, 2.1247643395041007, 2.4920679817330833]",negative,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
