,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,attention,label,rationale_binary
0,0,r2-0019256,"[1, 279, 973, 6364, 303, 266, 509, 264, 630, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['The', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","['The', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","[0.5804323657591114, 0.4042264639188716, 0.40506204890255426, 0.4219730877765407, 0.4755634660505764, 0.48347124293457333, 0.40247451305354187, 0.39594036213819606]",positive,"[1, 0, 0, 0, 0, 1, 0, 0]"
1,1,r2-0019259,"[1, 273, 700, 264, 5363, 106773, 795, 270, 262, 362, 326, 277, 312, 2789, 260, 325, 284, 760, 995, 280, 268, 2789, 324, 273, 590, 280, 297, 286, 785, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['I', 'went', 'to', 'Campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'It', 'was', 'someone', ""else's"", 'birthday', 'so', 'I', ""didn't"", 'have', 'fun.']","['I', 'went', 'to', 'Campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'It', 'was', 'someone', ""else's"", 'birthday', 'so', 'I', ""didn't"", 'have', 'fun.']","[0.5737961750451819, 0.4072525922737167, 0.4716115698050141, 0.31450439836468025, 0.4613072756450762, 0.3574345624809978, 0.554917459789565, 0.8761040370983324, 0.49088974804691426, 0.4546415852366863, 0.4673259221897247, 0.4656902276755639, 0.5422116241274246, 1.111125211996528, 0.5539700958897602, 0.6156061414567598, 0.5094360332349034, 0.47191153315537826, 0.5047259100500149, 0.49291818624821987, 0.5139589265160451]",negative,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
2,2,r2-0019260,"[1, 279, 506, 269, 16427, 261, 942, 779, 260, 325, 269, 426, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['The', 'service', 'is', 'alright,', 'nothing', 'special.', 'It', 'is', 'great.']","['The', 'service', 'is', 'alright,', 'nothing', 'special.', 'It', 'is', 'great.']","[0.6774387324378036, 0.4006299025577026, 0.44151754583093417, 0.4284083368158148, 0.5230802339599095, 0.3711156180702666, 0.3836249046117561, 0.6907162386472477, 0.4362855445625761]",positive,"[1, 0, 0, 0, 1, 0, 0, 1, 0]"
3,3,r2-0019262,"[1, 710, 284, 762, 1814, 270, 34985, 5696, 275, 26212, 261, 3286, 300, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","[0.5501513937175971, 0.4363453294609579, 0.2935099588572278, 0.39441886386327163, 0.3966279439508864, 0.33062552228175424, 0.3915673599118325, 0.36725294813979503, 0.43935420181719015]",negative,"[1, 1, 0, 0, 0, 0, 0, 0, 1]"
4,4,r2-0019263,"[1, 279, 5715, 267, 262, 1019, 281, 284, 298, 32926, 263, 2311, 275, 7967, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['The', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","['The', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","[0.6864721162005392, 0.5140449471447821, 0.4588865170490114, 0.5833688656909276, 0.417181425086216, 0.4837386397745382, 0.529849418948979, 0.35437734962815476, 0.4370075507634432, 0.4981943677884638, 0.4588834107248788, 0.3788044105744785, 0.36187742693272956]",negative,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
5,5,r2-0019264,"[1, 273, 284, 324, 2907, 272, 291, 645, 13450, 99146, 263, 18125, 538, 416, 261, 348, 339, 311, 7878, 3349, 270, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['I', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","['I', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","[0.5618764162480766, 0.5177535109143634, 0.3998120719846457, 0.5356614603370394, 0.4701525958990888, 0.4791381567433051, 0.40216115673767067, 0.44210026454072976, 0.4903179836603112, 0.6155078302248964, 0.46146306517202995, 0.352769151892038, 0.40438357553686, 0.8197541234059393, 0.4325821508073404, 0.466745194810349, 0.34002411444931196, 0.4441175689597069, 0.4100180101153114]",negative,"[1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
6,6,r2-0019265,"[1, 573, 640, 1150, 280, 297, 560, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['My', 'car', ""wasn't"", 'working.']","['My', 'car', ""wasn't"", 'working.']","[0.40561147092455596, 0.34419863585910193, 0.4242306514271434, 0.34835659018039583]",negative,"[0, 0, 1, 0]"
7,7,r2-0019266,"[1, 329, 269, 311, 265, 262, 477, 1536, 267, 4434, 273, 280, 415, 854, 312, 640, 264, 310, 354, 704, 260, 325, 431, 6411, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['This', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'Vegas', ""I've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'It', 'really', 'rocks.']","['This', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'Vegas', ""I've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'It', 'really', 'rocks.']","[0.6880975461141735, 0.5952542751667061, 0.4719720412292293, 0.5525112185225851, 0.8041164085243313, 0.48732291056152083, 0.45242195180137945, 0.536691369954822, 0.4212848014472699, 0.5378326580056155, 0.4902172961295548, 0.46588120535825894, 0.4520871728299947, 0.46885765687826547, 0.44532204991570307, 0.5499207150043834, 0.3818656261618644, 0.4673164283486267, 0.43272474119496424, 1.0184902792107817]",positive,"[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
8,8,r2-0019267,"[1, 8337, 7634, 265, 10051, 413, 326, 264, 861, 321, 292, 262, 1491, 263, 470, 277, 262, 1108, 302, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","['Basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","[0.43625109336562007, 0.4184036052639388, 0.39757124767205143, 0.4346835517104791, 0.4002118989503398, 0.3873897294760424, 0.46014811231016506, 0.4951078967664551, 0.4245089067802779, 0.4789613849559479, 0.6621510376809431, 0.5257137469235834, 0.6133761970634521, 0.40654450143274884, 0.48393745894252965, 0.646834955846859, 0.491478276145607]",negative,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0]"
9,9,r2-0019270,"[1, 443, 286, 331, 324, 386, 4838, 479, 267, 291, 395, 265, 5070, 261, 304, 262, 1106, 303, 298, 1125, 359, 1691, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['There', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","['There', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","[0.6543822296769303, 0.4577417008676642, 0.5159909161439932, 0.4257807445856837, 0.45566171503921, 0.434838996057791, 0.442238078389047, 0.5431851625090384, 0.5046696440463438, 0.4530790875593406, 0.4502161179776832, 0.42242189123266943, 0.7686334447987424, 0.5529881214726186, 0.7277329133981999, 0.4142685307831827, 0.4990260604648955, 0.39644646020025287, 0.47452618191054297, 0.500760274798171]",positive,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
