,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,attention,label,rationale_binary
0,0,146,"[1, 262, 1421, 269, 823, 1298, 8578, 267, 21276, 366, 2923, 263, 3392, 2955, 8973, 323, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","[0.7141833661580006, 0.4479686920454873, 0.4729203901853083, 0.3620110790633005, 0.3591709330177602, 0.4525196712562036, 0.440176004837042, 0.5104941251085644, 0.6242637126683531, 0.42074831757152226, 0.5329913664125853, 0.3376362607053312, 0.3326253081091644]",negative,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]"
1,1,190,"[1, 842, 267, 937, 17193, 29448, 3878, 267, 93350, 341, 271, 278, 382, 268, 262, 14371, 271, 5863, 5550, 19139, 283, 41136, 2624, 271, 8087, 7244, 323, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance', '--', ""it's"", 'the', 'sci-fi', 'comedy', 'spectacle', 'as', 'whiffle-ball', 'epic.']","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance', '--', ""it's"", 'the', 'sci-fi', 'comedy', 'spectacle', 'as', 'whiffle-ball', 'epic.']","[0.5290017351409986, 0.5571422887959385, 0.3626661430436343, 0.3928878013512779, 0.38853921362240856, 0.35401476562200135, 0.492429762234542, 0.5573365989424197, 0.5837659212980864, 0.5372506128148947, 0.5417291611496734, 0.564575428218681, 0.52811916182368, 0.8748085661510672, 0.523189434484634, 0.47466286141592184]",negative,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0]"
2,2,585,"[1, 57489, 283, 266, 38176, 9531, 366, 1344, 9804, 263, 904, 9428, 323, 260, 260, 348, 314, 283, 20293, 263, 29919, 283, 9043, 642, 38547, 382, 284, 323, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', '`', ""manhunter'was.""]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', ""`manhunter'was.""]","[0.570824409643122, 0.4149065825122725, 0.7410098720246611, 0.5177250250127599, 0.40137994210948796, 0.7835420175636154, 0.35487210307781103, 0.42562936532498974, 0.6762247516205321, 0.376606856730583, 0.4019620951258139, 0.6346026131696391, 0.971845391733515, 1.098853971286527, 0.45963082092076646, 0.4621863587297206, 0.48946990580029903, 1.1307390856836173]",positive,
3,3,656,"[1, 438, 10758, 65090, 4605, 292, 462, 1720, 263, 262, 6266, 265, 262, 36403, 366, 278, 8393, 264, 2006, 462, 266, 674, 265, 5841, 23931, 263, 857, 271, 5609, 1855, 272, 37535, 262, 1976, 267, 323, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human-scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human-scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","[0.40668402396933745, 0.4330055999963432, 0.4158333264421526, 0.34958405814857635, 0.46972029751576916, 0.45662916484565536, 0.36679107132961053, 0.7785731805834198, 0.8717097465089355, 0.5613813296194611, 0.5391217885533266, 0.8258456960584213, 0.46570575466046776, 0.9286057939894937, 0.5198284591799999, 0.5171737931961937, 0.5309302594703559, 0.4417508240492045, 0.4482955156160941, 0.7814846299366837, 0.517385631102658, 0.5101566510830347, 0.3881192184044366, 0.5221806325089673, 0.7465106844746119, 0.41443092014524263, 0.5028020222006527, 0.487261955038562, 0.4421154597041904, 0.46520148774787295, 0.5346440358153844]",positive,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
4,4,758,"[1, 1787, 2576, 266, 717, 84339, 323, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","[0.37490928743259844, 0.30970454848817547, 0.423327451540087, 0.38019884824827593, 0.3653744875825243]",negative,"[0, 0, 1, 1, 0]"
5,5,830,"[1, 65612, 268, 68062, 263, 18528, 47989, 1329, 264, 282, 267, 266, 4354, 264, 398, 328, 295, 321, 271, 11573, 271, 15482, 262, 340, 323, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out-bad-act', 'the', 'other.']","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out-bad-act', 'the', 'other.']","[0.5259633797512935, 0.384297435882528, 0.48381613669430285, 0.6295978297150429, 0.37731684321591635, 0.4084386054123409, 0.4908225426265488, 0.4704056731505505, 0.5002060034755395, 0.6479848257560957, 0.7219330712154306, 0.5376262323379941, 0.5291923737203735, 0.43457041064662094, 0.4870048194228687, 0.44699074784211407]",negative,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]"
6,6,952,"[1, 45424, 366, 18933, 27489, 5069, 323, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['pitiful,', 'slapdash', 'disaster.']","['...', 'pitiful,', 'slapdash', 'disaster.']","[0, 0.39361822801403923, 0.41892130496357205, 0.366564632706464]",negative,"[0, 0, 1, 0]"
7,7,1050,"[1, 501, 410, 265, 262, 395, 1857, 323, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['another', 'best', 'of', 'the', 'year', 'selection.']","['another', 'best', 'of', 'the', 'year', 'selection.']","[0.4040352052295696, 0.4314219009265638, 0.436959766540237, 0.48814478599973665, 0.4164191247617418, 0.3669547530811917]",positive,"[0, 0, 1, 1, 0, 0]"
8,8,1453,"[1, 718, 45555, 263, 59053, 3212, 286, 6613, 7545, 341, 271, 308, 2749, 263, 5283, 5930, 366, 438, 518, 431, 7526, 4666, 366, 269, 31107, 323, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry', '--', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry', '--', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","[0.5053223980493089, 0.5110558174933496, 0.6432580873645296, 0.40698836478668926, 0.33856534817896, 0.40646251872475386, 0.3684377898701678, 0.37142960763158867, 0.5507778234749375, 0.5433974235388945, 0.5638735004448743, 0.4501323608056966, 0.6693944633628001, 0.4135470031374943, 0.44938062185399485, 0.8443697603546032, 0.44269860363900987, 0.3696111596620843]",positive,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0]"
9,9,1749,"[1, 830, 311, 265, 262, 370, 7264, 40287, 265, 266, 472, 8083, 632, 2484, 264, 933, 323, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","[0.44371928434227487, 0.39780203872402004, 0.4772732720974587, 0.6923571960289736, 0.4710597201515623, 0.3895400228188419, 0.5547975177282221, 0.42104977184564485, 0.616962349685044, 0.42877690289548825, 0.4613639149260809, 0.3625166518379575, 0.4584381428088549, 0.4510823451371117, 0.44697788492780055]",positive,"[0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
