,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,attention,label,rationale_binary
0,0,r2-0019256,"[1, 279, 973, 6364, 303, 266, 509, 264, 630, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['The', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","['The', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","[0.45128773625051344, 0.3469894543188271, 0.35055697062545466, 0.43846192300942827, 0.438211050350252, 0.40499520260589655, 0.40282884924558554, 0.3882062672441276]",positive,"[1, 0, 0, 1, 1, 0, 0, 0]"
1,1,r2-0019259,"[1, 273, 700, 264, 5363, 106773, 795, 270, 262, 362, 326, 277, 312, 2789, 260, 325, 284, 760, 995, 280, 268, 2789, 324, 273, 590, 280, 297, 286, 785, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['I', 'went', 'to', 'Campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'It', 'was', 'someone', ""else's"", 'birthday', 'so', 'I', ""didn't"", 'have', 'fun.']","['I', 'went', 'to', 'Campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'It', 'was', 'someone', ""else's"", 'birthday', 'so', 'I', ""didn't"", 'have', 'fun.']","[0.47338534308292735, 0.44071280278395586, 0.4962570531620618, 0.35118557087445446, 0.449552402061739, 0.2686678311118345, 0.5133103301498108, 0.7504273698895123, 0.4137955740746178, 0.37214166271162036, 0.4821382443232923, 0.4921246134124935, 0.49357722030216006, 1.1888977476207785, 0.5194423376786933, 0.5962869908620224, 0.39442086119695147, 0.39211303579715606, 0.587795953569264, 0.5931267587556696, 0.4147727264344121]",negative,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0]"
2,2,r2-0019260,"[1, 279, 506, 269, 16427, 261, 942, 779, 260, 325, 269, 426, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['The', 'service', 'is', 'alright,', 'nothing', 'special.', 'It', 'is', 'great.']","['The', 'service', 'is', 'alright,', 'nothing', 'special.', 'It', 'is', 'great.']","[0.5071093350343298, 0.3350169721406008, 0.44036122336206346, 0.3966651377369364, 0.5665475046612654, 0.32822974578848985, 0.35677706227058037, 0.7284608344771508, 0.4328020280224837]",positive,"[1, 0, 0, 0, 1, 0, 0, 1, 0]"
3,3,r2-0019262,"[1, 710, 284, 762, 1814, 270, 34985, 5696, 275, 26212, 261, 3286, 300, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","[0.3062468454389552, 0.445542701674989, 0.30803398456250825, 0.34493875244344546, 0.39272448651187564, 0.33282286147931617, 0.37381184969667686, 0.37669904499876816, 0.35013341852337315]",negative,"[0, 1, 0, 0, 1, 0, 0, 1, 0]"
4,4,r2-0019263,"[1, 279, 5715, 267, 262, 1019, 281, 284, 298, 32926, 263, 2311, 275, 7967, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['The', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","['The', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","[0.5039412564913114, 0.511849797128051, 0.4431806772328857, 0.5091834779091199, 0.3674396414155987, 0.45384683185971547, 0.4407039645637107, 0.3015606544500061, 0.43286422997132656, 0.4751012298878604, 0.37059188351931593, 0.39890469755914687, 0.3918455450092825]",negative,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
5,5,r2-0019264,"[1, 273, 284, 324, 2907, 272, 291, 645, 13450, 99146, 263, 18125, 538, 416, 261, 348, 339, 311, 7878, 3349, 270, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['I', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","['I', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","[0.5346973625319595, 0.5934657913132926, 0.35616943344396595, 0.49981903067392625, 0.5268978364844659, 0.4941720896872072, 0.32783703005399084, 0.36486249371171836, 0.40215733376034735, 0.606807485643691, 0.44009261134915445, 0.2952323378564606, 0.3145823920019639, 0.8738044610428102, 0.3447505122713526, 0.37690768364198646, 0.2904765439913691, 0.35423012562139206, 0.39676633338250394]",negative,"[1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
6,6,r2-0019265,"[1, 573, 640, 1150, 280, 297, 560, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['My', 'car', ""wasn't"", 'working.']","['My', 'car', ""wasn't"", 'working.']","[0.34608516969059455, 0.36112908151964995, 0.4511970618783696, 0.4332051276472196]",negative,"[0, 0, 1, 0]"
7,7,r2-0019266,"[1, 329, 269, 311, 265, 262, 477, 1536, 267, 4434, 273, 280, 415, 854, 312, 640, 264, 310, 354, 704, 260, 325, 431, 6411, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['This', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'Vegas', ""I've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'It', 'really', 'rocks.']","['This', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'Vegas', ""I've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'It', 'really', 'rocks.']","[0.5543983604884524, 0.6615938507606789, 0.4491242030245951, 0.6163723531873773, 0.7141187333175502, 0.4074423216789963, 0.35981673243860995, 0.547948889832924, 0.4369729711141508, 0.5739302943871581, 0.6169904572879986, 0.381867550294441, 0.38519465677693177, 0.46922384161311276, 0.39262935328437976, 0.5266113767357032, 0.36366950393750197, 0.3737414911488996, 0.39798274297233943, 1.089082208066369]",positive,"[1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
8,8,r2-0019267,"[1, 8337, 7634, 265, 10051, 413, 326, 264, 861, 321, 292, 262, 1491, 263, 470, 277, 262, 1108, 302, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","['Basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","[0.2868809473991631, 0.39711609400072667, 0.48790222762670843, 0.4684082111159585, 0.3292051711848543, 0.32055997221859445, 0.492653904395433, 0.46268930383748175, 0.37596608903026923, 0.47779663619561924, 0.6210501401936265, 0.4533828026063808, 0.5666411940129579, 0.3633498539748841, 0.47472880567625975, 0.5856325613383772, 0.4756169574504561]",negative,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0]"
9,9,r2-0019270,"[1, 443, 286, 331, 324, 386, 4838, 479, 267, 291, 395, 265, 5070, 261, 304, 262, 1106, 303, 298, 1125, 359, 1691, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['There', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","['There', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","[0.4367317879180749, 0.5165908312381564, 0.5098776078946126, 0.3572019065071835, 0.37270406157041863, 0.3743892030079893, 0.3434692965324036, 0.5410409868962455, 0.4886537722440473, 0.4643513943471241, 0.5225073908084428, 0.41939730497318206, 0.934576532436126, 0.5126854332636163, 0.6536740915371488, 0.4061368255298061, 0.4968875186191247, 0.3493065296167788, 0.3948354949262826, 0.494791658877724]",positive,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
