,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,attention,label,rationale_binary
0,0,r2-0019256,"[101, 1996, 2396, 8327, 2038, 1037, 2843, 2000, 3749, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","['the', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","[5.807133965416365, 4.365008462263677, 5.295593415098034, 5.282241817309345, 4.89281390815066, 5.8078116412294625, 4.915083372158096, 5.261180805671771]",positive,"[1, 0, 0, 0, 0, 1, 0, 0]"
1,1,r2-0019259,"[101, 1045, 2253, 2000, 3409, 8490, 3630, 4135, 2005, 1996, 2034, 2051, 2006, 2026, 5798, 1012, 2009, 2001, 2619, 2842, 1005, 1055, 5798, 2061, 1045, 2134, 1005, 1056, 2031, 4569, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'went', 'to', 'campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'it', 'was', 'someone', ""else's"", 'birthday', 'so', 'i', ""didn't"", 'have', 'fun.']","['i', 'went', 'to', 'campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'it', 'was', 'someone', ""else's"", 'birthday', 'so', 'i', ""didn't"", 'have', 'fun.']","[2.562216269483226, 3.1292318568844126, 2.4281739350064537, 2.00929859934714, 1.6535429905664687, 1.7018017548192987, 1.7751929410461025, 2.2759619877076513, 2.5393044405352034, 2.686141416869732, 2.3832116231056952, 2.31054611363824, 2.1157301767143175, 2.685575062703767, 5.01614089505256, 2.790598486863753, 2.81838153799081, 2.838556663678508, 2.6464130820225185, 2.230856337140392, 2.4754271014709164]",negative,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]"
2,2,r2-0019260,"[101, 1996, 2326, 2003, 10303, 1010, 2498, 2569, 1012, 2009, 2003, 2307, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'service', 'is', 'alright,', 'nothing', 'special.', 'it', 'is', 'great.']","['the', 'service', 'is', 'alright,', 'nothing', 'special.', 'it', 'is', 'great.']","[4.339592419922961, 3.882715649223574, 4.474774303969571, 6.12161900194319, 4.891932910624853, 4.835843925735488, 4.877349904944738, 7.375389834673767, 4.450147246259801]",positive,"[0, 0, 0, 1, 1, 0, 0, 1, 0]"
3,3,r2-0019262,"[101, 3976, 2001, 2340, 1002, 2005, 28712, 10733, 2007, 22286, 2015, 1010, 4689, 999, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['price', 'was', '11', '$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","['price', 'was', '11', '$for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","[3.9181262577958247, 5.257246186093054, 4.213104859441527, 8.36615136218684, 3.685866413581714, 3.5993633978519926, 3.984590663235127, 5.174344761153068, 3.7299445090305454]",positive,"[0, 1, 0, 1, 0, 0, 0, 1, 0]"
4,4,r2-0019263,"[101, 1996, 11848, 1999, 1996, 2691, 2024, 2001, 2025, 23519, 1998, 3561, 2007, 12883, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","['the', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","[4.3319926577244985, 3.1929208613383184, 3.6926966419905805, 4.1811463066393335, 3.3787963253639086, 4.285420344607743, 4.541593368658408, 4.0527052186240295, 3.63673059671821, 4.570178826619682, 3.7172507797433525, 3.6288311759356255, 3.801789024182037]",negative,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
5,5,r2-0019264,"[101, 1045, 2001, 2061, 5580, 2008, 2023, 2833, 12595, 2128, 20192, 3064, 1998, 17020, 2420, 2077, 1010, 2074, 2054, 2028, 12778, 12882, 2005, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","['i', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","[3.026221721348824, 3.5654596691607705, 3.233772583754131, 3.994155624784834, 3.2619859615784397, 3.1909826283225584, 2.3438900944610155, 3.3866639760448574, 2.6510979054259565, 2.2089754924350076, 2.686340856350495, 3.388291874873357, 2.5846039438016826, 2.9254321851564677, 3.5450363180488313, 3.9226078412071756, 3.1519353216591726, 3.196166895208487, 2.6874756306541068]",negative,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
6,6,r2-0019265,"[101, 2026, 2482, 2347, 1005, 1056, 2551, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['my', 'car', ""wasn't"", 'working.']","['my', 'car', ""wasn't"", 'working.']","[5.165553970692575, 4.307091483462861, 7.1925227092122235, 5.717967153119895]",negative,"[0, 0, 1, 0]"
7,7,r2-0019266,"[101, 2023, 2003, 2028, 1997, 1996, 2261, 3182, 1999, 7136, 1045, 1005, 2310, 2579, 2026, 2482, 2000, 2062, 2084, 2320, 1012, 2009, 2428, 5749, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['this', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'vegas', ""i've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'it', 'really', 'rocks.']","['this', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'vegas', ""i've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'it', 'really', 'rocks.']","[3.40654286651457, 3.2932897867739794, 2.9126603567696083, 2.578402668427463, 3.0037731307535704, 3.251913934493684, 2.7002215200918025, 2.6165022909993034, 2.440698406564017, 2.704879120659597, 2.4490670809254014, 2.5191783683874194, 2.8175621225852865, 2.408395623359279, 2.093447263811416, 2.922181293653632, 2.983298380554987, 3.111420322592086, 3.113795989567923, 5.8328516795530865]",positive,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
8,8,r2-0019267,"[101, 3937, 10268, 1997, 14904, 2202, 2051, 2000, 3288, 2041, 2013, 1996, 3829, 1998, 2173, 2006, 1996, 2795, 1029, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","['basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","[3.4969893468206723, 3.4729380126663782, 3.5213114715955816, 2.8280845754479493, 3.650915660612325, 3.6089255266746365, 3.5949765837438745, 3.54447454638066, 3.420866792921783, 3.5427550755270625, 3.6817486932891086, 3.2292859665979967, 4.010441927902364, 3.522371433981086, 3.5842447132971262, 3.8242995042530574, 3.707754742528114]",neutral,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1]"
9,9,r2-0019270,"[101, 2045, 2031, 2042, 2061, 2116, 6659, 2477, 1999, 2023, 2095, 1997, 12609, 1010, 2021, 1996, 3573, 2038, 2025, 2439, 2049, 3543, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['there', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","['there', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","[3.2801442777226795, 2.9890971033154843, 3.286678453640459, 3.173091076569198, 3.2071109578912456, 3.5801229657625475, 3.177805099656052, 2.5797872571222147, 3.20647349899186, 2.9608001754215336, 2.707304587106748, 2.9868008265086767, 4.102544980378275, 3.573201318132324, 3.1540111100016417, 2.5365377707752366, 3.1530738198237045, 2.9794151516357643, 3.311792950235292, 2.9979611201215572]",negative,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0]"
