,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,attention,label,rationale_binary
0,0,r2-0019256,"[101, 100, 2396, 8327, 2038, 1037, 2843, 2000, 3749, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","['art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","[7.290360925315772, 8.352262306657686, 9.737781889051734, 10.30333547419421, 6.741441930294197, 10.717643562954542, 7.052018587745717]",positive,
1,1,r2-0019259,"[101, 100, 2253, 2000, 100, 2005, 1996, 2034, 2051, 2006, 2026, 5798, 1012, 100, 2001, 2619, 2842, 1005, 1055, 5798, 2061, 100, 2134, 1005, 1056, 2031, 4569, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['went', 'to', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'was', 'someone', ""else's"", 'birthday', 'so', ""didn't"", 'have', 'fun.']","['went', 'to', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'was', 'someone', ""else's"", 'birthday', 'so', ""didn't"", 'have', 'fun.']","[3.012491601990804, 3.223044965014692, 2.663636989136614, 3.4713668468657755, 2.833059378239477, 2.285575312818186, 3.394695255353679, 2.9075538479214917, 2.687583191441253, 3.1989454254409275, 4.261519549584156, 3.977295757052536, 3.563212555342465, 3.436719396535884, 4.135567964120565, 3.0849076173601113, 2.9200562993783707]",negative,
2,2,r2-0019260,"[101, 100, 2326, 2003, 10303, 1010, 2498, 2569, 1012, 100, 2003, 2307, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['service', 'is', 'alright,', 'nothing', 'special.', 'is', 'great.']","['service', 'is', 'alright,', 'nothing', 'special.', 'is', 'great.']","[4.7956071127586934, 5.595175209685513, 7.076048515024264, 12.36746615140885, 5.483333873009158, 8.08433020182979, 6.395678100894936]",positive,
3,3,r2-0019262,"[101, 3976, 2001, 2340, 1002, 2005, 28712, 10733, 2007, 22286, 2015, 1010, 4689, 999, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['price', 'was', '11', '$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","['price', 'was', '11', '$for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","[4.556795599508914, 5.799637847659084, 5.2043328361281525, 13.282300970066373, 6.249069157972016, 8.052485044281575, 6.103125874526691, 5.924915668752041, 4.436082503434629]",positive,"[0, 0, 0, 1, 1, 1, 0, 0, 0]"
4,4,r2-0019263,"[101, 100, 11848, 1999, 1996, 2691, 2024, 2001, 2025, 23519, 1998, 3561, 2007, 12883, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","['toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","[4.587130893512325, 7.826436502223748, 4.293856135320006, 3.9314727454450353, 7.676031860842701, 6.912716462347051, 6.16892279034109, 9.04668970552046, 5.906913621306228, 5.133952813983624, 7.090602082523586, 4.826553569631112]",negative,
5,5,r2-0019264,"[101, 100, 2001, 2061, 5580, 2008, 2023, 2833, 12595, 2128, 20192, 3064, 1998, 17020, 2420, 2077, 1010, 2074, 2054, 2028, 12778, 12882, 2005, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","['was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","[3.4627531000622422, 3.8120940847851728, 3.3872308927741672, 6.229620776968591, 3.6838451338054505, 3.310336322966659, 4.160944382253935, 5.520350509644698, 3.4184861251725653, 3.646594020304319, 3.5377948995797888, 3.5550377603403316, 4.542778210126504, 3.7018376333965164, 3.614030185032675, 3.327796105928028, 3.9597310516441624, 4.544824612181297]",negative,
6,6,r2-0019265,"[101, 100, 2482, 2347, 1005, 1056, 2551, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['car', ""wasn't"", 'working.']","['car', ""wasn't"", 'working.']","[8.846729736634584, 8.235567449071269, 13.447727192814426]",negative,
7,7,r2-0019266,"[101, 100, 2003, 2028, 1997, 1996, 2261, 3182, 1999, 100, 100, 1005, 2310, 2579, 2026, 2482, 2000, 2062, 2084, 2320, 1012, 100, 2428, 5749, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['is', 'one', 'of', 'the', 'few', 'places', ""in've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'really', 'rocks.']","['is', 'one', 'of', 'the', 'few', 'places', ""in've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'really', 'rocks.']","[3.266709078487403, 4.324782139192055, 3.2313170692467112, 2.767870998927653, 2.5145474177723623, 4.197960729162396, 4.027788303924533, 3.0859462019042505, 3.4866446781038656, 3.291830214920803, 3.269814568678218, 3.9262038489851565, 4.069210099331218, 3.996416870056956, 4.103304044277351, 3.245707524671538]",positive,
8,8,r2-0019267,"[101, 100, 10268, 1997, 14904, 2202, 2051, 2000, 3288, 2041, 2013, 1996, 3829, 1998, 2173, 2006, 1996, 2795, 1029, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","['cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","[4.399155689425581, 4.343810696910091, 3.3954443741626723, 5.272906243916748, 5.23516415928171, 4.27160353647011, 3.853311857829004, 5.729922824486641, 4.344143861252396, 4.591327965165723, 3.6153087191094615, 6.288575422018471, 4.505279221099333, 4.524726089904138, 5.033519235804822, 3.4426673343387066]",neutral,
9,9,r2-0019270,"[101, 100, 2031, 2042, 2061, 2116, 6659, 2477, 1999, 2023, 2095, 1997, 12609, 1010, 2021, 1996, 3573, 2038, 2025, 2439, 2049, 3543, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","['have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","[3.50157262330045, 3.661510748964473, 3.663351401790966, 3.1767194008791324, 3.9955253622575637, 6.943709249088336, 4.9344136399752525, 3.2092472167744113, 3.4497812963793173, 3.7714552321847057, 2.9069452488405725, 5.834679141288112, 3.7451533472650524, 4.424302475798217, 2.975326575815217, 3.9280899902497195, 4.867393648685899, 5.330110771992015, 5.3956408237276765]",negative,
