,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,attention,label,rationale_binary
0,0,146,"[101, 1996, 3185, 2003, 2471, 3294, 11158, 1999, 23873, 1010, 4474, 1998, 8335, 6832, 10652, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","[3.567436189671595, 6.795128961164349, 5.455627676174337, 3.997262676678597, 3.758976580174924, 5.986450651201399, 3.096330832525031, 6.948634412998622, 2.688819029968598, 4.471360883983383, 2.7052729953839076, 4.649328147957539, 6.087106365238394]",positive,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]"
1,1,190,"[101, 2273, 1999, 2304, 2462, 6162, 2015, 7209, 16021, 23773, 18513, 6651, 1011, 1011, 2009, 1005, 1055, 1996, 16596, 1011, 10882, 4038, 21177, 2004, 1059, 25798, 2571, 1011, 3608, 8680, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance', '-', '-', ""it's"", 'the', 'sci', '-', 'fi', 'comedy', 'spectacle', 'as', 'whiffle', '-', 'ball', 'epic.']","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance--', ""it's"", 'the', 'sci-fi', 'comedy', 'spectacle', 'as', 'whiffle-ball', 'epic.']","[3.5594190624969113, 1.9088380225712913, 2.517382779531488, 3.1258495317641053, 2.9939590713279607, 2.0306123888224543, 7.764402345092135, 3.2399056435498, 2.5162873079335264, 5.303081715659211, 2.0808145245333605, 1.880556120445381, 1.5558087871618207, 6.627035267662205, 4.242303347485458]",positive,
2,2,585,"[101, 17894, 2229, 2004, 1037, 8066, 7699, 9240, 1010, 3811, 12853, 1998, 2658, 6789, 1012, 1012, 1012, 2074, 2055, 2004, 27017, 1998, 4895, 21678, 2989, 2004, 1036, 2158, 25629, 1005, 2001, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', '`', ""manhunter'was.""]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', ""`manhunter'was.""]","[3.5763188178074525, 2.277476844730193, 2.0787561075795544, 2.0761165757427853, 3.601506404585277, 2.9515665952993357, 3.0743389793309777, 1.6484059746355904, 2.1545988077314786, 3.643504951769776, 1.4359091730448854, 2.870754645313229, 3.5169035258247954, 1.9177002634954294, 1.8307393814957567, 1.8506114568986192, 2.2376633831348647, 3.799996464541151]",positive,
3,3,656,"[101, 2096, 11660, 17781, 2015, 4600, 2013, 2119, 2698, 1998, 1996, 4223, 1997, 1996, 12559, 2015, 1010, 2009, 9020, 2000, 5441, 2119, 1037, 2504, 1997, 12138, 20014, 27611, 1998, 2529, 1011, 4094, 3494, 2008, 11891, 1996, 4378, 1999, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human', '-', 'scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human-scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","[2.309450675762395, 3.953236215630325, 3.031731626859244, 1.8640999698528558, 1.8363469984689242, 1.3279853068651575, 1.715880116551152, 1.9455365583215636, 1.2436513955895085, 1.2981954387487744, 2.8292523638639415, 1.362076417170623, 1.3539298507847786, 2.101360154525147, 1.6184278889641868, 1.3630133456958438, 1.7192019068586484, 3.642763783188066, 1.3301988269942475, 2.4108292108927896, 1.8354242250808073, 1.5614476706141989, 2.23112889911092, 1.4180061039502991, 8.35283239988115, 1.3510396177086117, 2.2909624661039696, 1.5490571185286397, 2.633691125991117, 3.428624718082466, 1.6593139991444774]",positive,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
4,4,758,"[101, 5030, 5683, 1037, 2978, 9617, 2818, 4948, 6553, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","[9.875748792427611, 11.796189166774798, 4.0788305809695915, 6.581247045934213, 7.185467490315028]",positive,"[0, 1, 0, 0, 0]"
5,5,830,"[101, 11382, 2869, 28989, 1998, 9747, 4025, 2000, 2022, 1999, 1037, 5049, 2000, 2156, 2040, 2064, 2041, 1011, 2919, 1011, 2552, 1996, 2060, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out', '-', 'bad', '-', 'act', 'the', 'other.']","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out-bad', '-', 'act', 'the', 'other.']","[3.787011309416205, 3.6306911150918366, 4.903485230661829, 2.304062707476457, 5.176619467600975, 4.2825513650917655, 2.111880097557158, 2.4416838308658946, 2.1011439107792143, 2.1573048395768906, 4.475393225083889, 2.005562608870368, 2.9425665826131686, 9.131669871925602, 2.452097567349769, 3.483719291030031, 2.43011537348605, 4.55085437140638]",negative,
6,6,952,"[101, 6770, 18424, 1010, 14308, 8883, 2232, 7071, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['pitiful,', 'slapdash', 'disaster.']","['...', 'pitiful,', 'slapdash', 'disaster.']","[0, 10.193741902574343, 8.148650834566984, 4.006581526641336]",positive,"[0, 1, 0, 0]"
7,7,1050,"[101, 2178, 2190, 1997, 1996, 2095, 4989, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['another', 'best', 'of', 'the', 'year', 'selection.']","['another', 'best', 'of', 'the', 'year', 'selection.']","[8.400540812391066, 9.615875003667645, 5.318933616191868, 4.684588518523914, 8.894438375854392, 10.671696382267385]",positive,"[0, 1, 0, 0, 0, 1]"
8,8,1453,"[101, 16475, 2891, 1998, 16220, 2884, 2031, 14388, 6370, 1011, 1011, 2037, 4424, 1998, 6298, 6980, 1010, 2096, 2196, 2428, 5554, 3550, 1010, 2003, 14412, 4502, 3468, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry', '-', '-', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry--', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","[3.7017346455875586, 3.638004023544163, 1.8487953971243527, 3.6973758555559026, 3.286660783080591, 10.626893840715791, 1.6892535644376174, 1.6538152269838045, 2.2644147879159138, 3.7045234330558316, 1.6558135279460529, 3.399092224230674, 3.60000216317881, 1.7809578069675338, 2.3016599723147846, 2.366526440570258, 3.191805849296621]",positive,
9,9,1749,"[101, 2838, 2028, 1997, 1996, 2087, 12473, 20818, 1997, 1037, 2293, 6771, 2412, 5462, 2000, 2143, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","[6.237537013922854, 3.80402623895165, 2.9291982591068897, 2.626854146420606, 4.295315662189956, 5.207097994351385, 6.92035385459141, 2.830031912553112, 2.4442433167353212, 6.230215633361901, 5.88722839920083, 3.322570624439198, 5.287989663215214, 2.552506339727052, 6.365196753811914]",positive,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
10,10,1784,"[101, 14397, 5740, 1998, 3766, 4025, 2000, 2562, 2039, 4691, 1996, 14405, 2063, 2006, 2169, 2060, 1010, 2074, 2004, 2037, 3494, 2079, 1999, 1996, 2143, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['pacino', 'and', 'williams', 'seem', 'to', 'keep', 'upping', 'the', 'ante', 'on', 'each', 'other,', 'just', 'as', 'their', 'characters', 'do', 'in', 'the', 'film.']","['pacino', 'and', 'williams', 'seem', 'to', 'keep', 'upping', 'the', 'ante', 'on', 'each', 'other,', 'just', 'as', 'their', 'characters', 'do', 'in', 'the', 'film.']","[4.450090158509168, 4.530465231226221, 2.166066959366311, 4.252676976994935, 3.7892082684970076, 1.9000386980099575, 3.122168810179568, 2.449364576261807, 2.6647747340851042, 1.828592288889729, 2.9542817777270436, 2.279081327725132, 2.0364376517046563, 3.2507096461757166, 2.4029279897729587, 2.0297255998699795, 2.761482448170327, 2.4769372816152573, 2.86023235604865, 5.158043505476046]",positive,"[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
11,11,2018,"[101, 1999, 22038, 2595, 1010, 7937, 2003, 2008, 4678, 6492, 1011, 1011, 2019, 2895, 5394, 2007, 2795, 14632, 1010, 1998, 2028, 2040, 16481, 2008, 27745, 2003, 2062, 2084, 11660, 2784, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['in', 'xxx,', 'diesel', 'is', 'that', 'rare', 'creature', '-', '-', 'an', 'action', 'hero', 'with', 'table', 'manners,', 'and', 'one', 'who', 'proves', 'that', 'elegance', 'is', 'more', 'than', 'tattoo', 'deep.']","['in', 'xxx,', 'diesel', 'is', 'that', 'rare', 'creature--', 'an', 'action', 'hero', 'with', 'table', 'manners,', 'and', 'one', 'who', 'proves', 'that', 'elegance', 'is', 'more', 'than', 'tattoo', 'deep.']","[2.0631302715291957, 3.54347194205618, 2.4237823407017727, 1.684798977124711, 3.886388212434748, 3.182865423767417, 9.015421865990234, 1.5637880057788929, 1.556653089982797, 1.7863421650736342, 2.2470581216784833, 2.827933469703555, 1.6383302612607495, 2.824412667484756, 3.4236440763622724, 1.7541538980156421, 1.5590885146841382, 2.07316051164751, 2.2691466655012404, 4.370621338392211, 1.955152516568203, 3.8013180513834084, 3.021931210010303, 1.9817334363614563]",positive,
