,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,attention,label,rationale_binary
0,0,r2-0019256,"[101, 100, 2396, 8327, 2038, 1037, 2843, 2000, 3749, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","['art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","[7.203328962209439, 8.44094965304994, 8.710354635365233, 7.765540019648775, 3.701396305227053, 6.226245486210996, 3.965411340957541]",positive,
1,1,r2-0019259,"[101, 100, 2253, 2000, 100, 2005, 1996, 2034, 2051, 2006, 2026, 5798, 1012, 100, 2001, 2619, 2842, 1005, 1055, 5798, 2061, 100, 2134, 1005, 1056, 2031, 4569, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['went', 'to', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'was', 'someone', ""else's"", 'birthday', 'so', ""didn't"", 'have', 'fun.']","['went', 'to', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'was', 'someone', ""else's"", 'birthday', 'so', ""didn't"", 'have', 'fun.']","[3.292390070816748, 3.946028333012122, 1.8293371191158376, 2.8521614309994727, 1.8557366053773083, 1.638162450602406, 1.8110491959595931, 2.3260060208739635, 1.7808004715567152, 3.313442850123974, 3.9906059872350967, 2.2705607604000795, 2.8458758476246335, 2.6028911049782737, 3.47761326542187, 3.0374415141301925, 3.085902430038743]",positive,
2,2,r2-0019260,"[101, 100, 2326, 2003, 10303, 1010, 2498, 2569, 1012, 100, 2003, 2307, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['service', 'is', 'alright,', 'nothing', 'special.', 'is', 'great.']","['service', 'is', 'alright,', 'nothing', 'special.', 'is', 'great.']","[6.506120418553754, 6.502414467530232, 6.359902888528426, 8.426565442422826, 3.3230023254776637, 5.698096978885733, 4.619904679959272]",positive,
3,3,r2-0019262,"[101, 3976, 2001, 2340, 1002, 2005, 28712, 10733, 2007, 22286, 2015, 1010, 4689, 999, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['price', 'was', '11', '$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","['price', 'was', '11', '$for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","[6.096970348542798, 5.154249231077592, 3.9291819183111047, 9.498756175005873, 6.308794191453978, 7.732773430217644, 3.1199372482296175, 5.923268015119391, 3.6646559927241578]",positive,"[0, 0, 0, 1, 1, 1, 0, 0, 0]"
4,4,r2-0019263,"[101, 100, 11848, 1999, 1996, 2691, 2024, 2001, 2025, 23519, 1998, 3561, 2007, 12883, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","['toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","[5.378505153959944, 8.00514128690579, 3.3689224539080387, 3.1434568591266094, 5.049802902508942, 5.708138026896717, 4.704601294729593, 3.388195828678838, 5.45958644380773, 2.8246225960214253, 4.848077947753812, 3.079603918035588]",positive,
5,5,r2-0019264,"[101, 100, 2001, 2061, 5580, 2008, 2023, 2833, 12595, 2128, 20192, 3064, 1998, 17020, 2420, 2077, 1010, 2074, 2054, 2028, 12778, 12882, 2005, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","['was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","[3.4491540697992638, 3.3631166189485255, 2.258432023301636, 4.296998853066828, 2.2490267360003067, 2.669022963569543, 4.284106555753471, 5.729003259649383, 2.5842209117688926, 3.6882789003531182, 2.789816039623866, 2.023412081335598, 4.910934216323512, 3.357903966804833, 2.520080378175082, 2.2234918002566926, 2.700581553295563, 3.283179080077669]",positive,
6,6,r2-0019265,"[101, 100, 2482, 2347, 1005, 1056, 2551, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['car', ""wasn't"", 'working.']","['car', ""wasn't"", 'working.']","[7.938485525258435, 9.317541490701805, 13.335494653307096]",positive,
7,7,r2-0019266,"[101, 100, 2003, 2028, 1997, 1996, 2261, 3182, 1999, 100, 100, 1005, 2310, 2579, 2026, 2482, 2000, 2062, 2084, 2320, 1012, 100, 2428, 5749, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['is', 'one', 'of', 'the', 'few', 'places', ""in've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'really', 'rocks.']","['is', 'one', 'of', 'the', 'few', 'places', ""in've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'really', 'rocks.']","[3.60832047638564, 3.6685023030296406, 2.7023615680793482, 2.069088799013683, 2.0746410107265767, 2.954106993925008, 4.775535427933107, 1.9151998953070974, 2.9622426800009847, 2.927166176018966, 2.862960698092841, 2.9426558183853655, 3.028578106870274, 3.923855996652533, 3.869714050564807, 1.9862875700346605]",positive,
8,8,r2-0019267,"[101, 100, 10268, 1997, 14904, 2202, 2051, 2000, 3288, 2041, 2013, 1996, 3829, 1998, 2173, 2006, 1996, 2795, 1029, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","['cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","[4.5197419844919136, 6.559202957466019, 2.685924285995371, 5.251309963255096, 3.964072614296022, 3.6195970911945112, 2.758624536506663, 4.041018735782498, 2.7812147903910125, 2.2823538696994516, 2.1389882524717816, 6.821483412345894, 2.490713551617825, 3.9003531296214398, 2.6637797510756154, 2.2554101179647166]",positive,
9,9,r2-0019270,"[101, 100, 2031, 2042, 2061, 2116, 6659, 2477, 1999, 2023, 2095, 1997, 12609, 1010, 2021, 1996, 3573, 2038, 2025, 2439, 2049, 3543, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","['have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","[3.7854903752108813, 3.281077059963798, 2.99258411636388, 2.2216213161212837, 3.2364169184013343, 4.0142832520869645, 3.449866841350153, 2.1589819681904205, 2.423759123641621, 3.3867454532104624, 2.1410919233876893, 5.951934758856807, 2.2047565087523306, 2.6757888622011503, 2.0830411673212863, 4.614650087594541, 4.446659971862854, 2.595795818432373, 3.988263759121559]",positive,
