,Unnamed: 0,originaldata_id,ids,tokens_input,tokens_input_ids,tokens_merged,attention,label,rationale_binary
0,0,r2-0019256,"[0, 133, 1808, 8483, 34, 10, 319, 7, 904, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['The', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","[0, 133, 1808, 8483, 34, 10, 319, 7, 904, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['The', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","[5.163369612294026, 6.9546599062218295, 4.7328327458328125, 3.540419228956844, 4.221217545013044, 3.3152395447791396, 8.123724418985747, 3.9165546055415454]",positive,"[0, 1, 0, 0, 0, 0, 1, 0]"
1,1,r2-0019259,"[0, 100, 439, 7, 4746, 11244, 5675, 13, 5, 78, 86, 15, 127, 4115, 4, 85, 21, 951, 1493, 18, 4115, 98, 38, 399, 75, 33, 1531, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['I', 'went', 'to', 'Campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'It', 'was', 'someone', ""else's"", 'birthday', 'so', 'I', ""didn't"", 'have', 'fun.']","[0, 100, 439, 7, 4746, 11244, 5675, 13, 5, 78, 86, 15, 127, 4115, 4, 85, 21, 951, 1493, 18, 4115, 98, 38, 399, 75, 33, 1531, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['I', 'went', 'to', 'Campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'It', 'was', 'someone', ""else's"", 'birthday', 'so', 'I', ""didn't"", 'have', 'fun.']","[2.094058585473815, 2.721648435180712, 4.447729885685813, 2.373185052131386, 2.214665215977323, 2.4415756954256578, 2.699701722519662, 3.847099407062121, 2.7890219687106828, 2.741680761000974, 2.4848476320682837, 1.8896534694311558, 1.878674487847483, 3.3329345956990486, 2.07177237267309, 1.8092036989530873, 2.230850149770763, 2.5446865876744824, 2.7551263812138895, 2.0928059920414035, 2.1638668063287994]",negative,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
2,2,r2-0019260,"[0, 133, 544, 16, 30103, 6, 1085, 780, 4, 85, 16, 372, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['The', 'service', 'is', 'alright,', 'nothing', 'special.', 'It', 'is', 'great.']","[0, 133, 544, 16, 30103, 6, 1085, 780, 4, 85, 16, 372, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['The', 'service', 'is', 'alright,', 'nothing', 'special.', 'It', 'is', 'great.']","[5.472552013373192, 6.739292192229593, 3.633638858083331, 3.8189320403717217, 4.579537120200012, 4.307011482098406, 3.9752970561966623, 5.982521064955592, 4.241794500374614]",positive,"[1, 1, 0, 0, 0, 0, 0, 1, 0]"
3,3,r2-0019262,"[0, 17212, 21, 365, 1629, 13, 3023, 462, 9366, 19, 27339, 1033, 6, 5373, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","[0, 17212, 21, 365, 1629, 13, 3023, 462, 9366, 19, 27339, 1033, 6, 5373, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","[5.5448554610805605, 3.9626407627798566, 3.82729913290102, 3.3855737475248193, 3.54974154908754, 3.037137160342641, 3.5300157839110313, 4.370051840406639, 4.943790705321878]",negative,"[1, 0, 0, 0, 0, 0, 0, 1, 1]"
4,4,r2-0019263,"[0, 133, 11471, 11, 5, 1537, 32, 21, 45, 2342, 11286, 8, 3820, 19, 19230, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['The', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","[0, 133, 11471, 11, 5, 1537, 32, 21, 45, 2342, 11286, 8, 3820, 19, 19230, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['The', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","[4.635548425159137, 5.437790480884212, 3.749557167290976, 4.034267451015525, 3.3491235273659603, 3.373018356599409, 3.1369835385444684, 2.9640273249542535, 3.627462240376143, 4.650854739935421, 3.691546969791889, 4.035942850146043, 3.5956598876702945]",negative,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
5,5,r2-0019264,"[0, 100, 21, 98, 7785, 14, 42, 689, 29143, 35745, 1070, 8, 29693, 360, 137, 6, 95, 99, 65, 7634, 4549, 13, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['I', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","[0, 100, 21, 98, 7785, 14, 42, 689, 29143, 35745, 1070, 8, 29693, 360, 137, 6, 95, 99, 65, 7634, 4549, 13, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['I', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","[2.374500066547428, 2.453612527139724, 2.089487869183897, 2.518054245849154, 2.680698798555498, 2.2771962641218457, 2.7885787490903557, 3.7970691897976048, 4.403132821567919, 3.407183163338198, 2.89746888824342, 3.642750205041754, 2.0499937583179175, 2.0670153951740056, 3.0055828414774273, 2.1022555355798085, 2.445385871633946, 2.412186759484296, 3.009216373212127]",negative,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]"
6,6,r2-0019265,"[0, 2387, 512, 938, 75, 447, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['My', 'car', ""wasn't"", 'working.']","[0, 2387, 512, 938, 75, 447, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['My', 'car', ""wasn't"", 'working.']","[7.402756146217417, 8.811846741252248, 7.137691833427203, 6.024011602287921]",negative,"[0, 1, 0, 0]"
7,7,r2-0019266,"[0, 713, 16, 65, 9, 5, 367, 2127, 11, 2461, 38, 348, 551, 127, 512, 7, 55, 87, 683, 4, 85, 269, 10889, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['This', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'Vegas', ""I've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'It', 'really', 'rocks.']","[0, 713, 16, 65, 9, 5, 367, 2127, 11, 2461, 38, 348, 551, 127, 512, 7, 55, 87, 683, 4, 85, 269, 10889, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['This', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'Vegas', ""I've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'It', 'really', 'rocks.']","[2.6050074139708417, 2.459894101981372, 2.3964140180456615, 2.941124758329435, 3.4538551035711804, 2.4204788574045115, 2.807195334128165, 3.068057141718235, 3.4200006000241956, 2.506487095136159, 2.7480861119200974, 3.4301123952245436, 2.0193912823126836, 2.3932276080045907, 4.425602814345364, 2.2228626379633925, 2.4433125501524136, 2.717983771405716, 3.7930118999598927, 2.5470838678664873]",positive,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]"
8,8,r2-0019267,"[0, 46255, 12988, 9, 18833, 185, 86, 7, 836, 66, 31, 5, 4647, 8, 317, 15, 5, 2103, 116, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['Basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","[0, 46255, 12988, 9, 18833, 185, 86, 7, 836, 66, 31, 5, 4647, 8, 317, 15, 5, 2103, 116, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['Basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","[4.0332708275955245, 4.402585798507968, 4.049912120174346, 3.8230406180237453, 3.2057434723365943, 2.4709355553592203, 5.211771862551803, 3.0835602200995984, 2.5650813649100686, 3.3683762691696733, 3.8108594313542676, 3.2231177539948477, 2.9685749893156843, 2.255100514809133, 2.7813699535442553, 3.2322199517594288, 2.6235455690496705]",negative,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,9,r2-0019270,"[0, 970, 33, 57, 98, 171, 6587, 383, 11, 42, 76, 9, 2760, 6, 53, 5, 1400, 34, 45, 685, 63, 2842, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['There', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","[0, 970, 33, 57, 98, 171, 6587, 383, 11, 42, 76, 9, 2760, 6, 53, 5, 1400, 34, 45, 685, 63, 2842, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['There', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","[3.131270751539897, 2.503741322136632, 2.4289205616099965, 2.1038173759173833, 2.6986677646157933, 2.1657568320830376, 2.807702139365434, 3.3539393974042033, 2.624975393020692, 2.7230012180242844, 3.731221790834976, 2.878858968962103, 3.032464611098133, 2.4037969226913147, 3.7002984372210936, 2.5900171399495373, 2.3583840735295394, 2.363736370655696, 2.638330345626169, 2.79673288614065]",positive,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0]"
