,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,attention,label
0,r2-0019256,"[0, 133, 1808, 8483, 34, 10, 319, 7, 904, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['The', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","['The', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","[5.992598988585833, 5.188461385480066, 5.336334902011904, 5.64238886317371, 6.278428669791777, 5.847738737431794, 6.829968643082897, 5.061901426454921]",positive
1,r2-0019259,"[0, 100, 439, 7, 4746, 11244, 5675, 13, 5, 78, 86, 15, 127, 4115, 4, 85, 21, 951, 1493, 18, 4115, 98, 38, 399, 75, 33, 1531, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['I', 'went', 'to', 'Campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'It', 'was', 'someone', ""else's"", 'birthday', 'so', 'I', ""didn't"", 'have', 'fun.']","['I', 'went', 'to', 'Campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'It', 'was', 'someone', ""else's"", 'birthday', 'so', 'I', ""didn't"", 'have', 'fun.']","[2.2389141432313764, 2.413478865047357, 3.0857286531188417, 2.0750297884612396, 2.0923355522892817, 3.6121724504392354, 3.255472347627474, 2.6940286557949378, 2.600862776134049, 2.1875740562287196, 2.8467398895114617, 2.1412536789604095, 2.2094814590277614, 3.4838595775164714, 2.724003346849375, 2.510166747647668, 2.497572824154177, 3.194347872895582, 2.7432594530985575, 2.378762340731791, 2.8989202033490566]",negative
2,r2-0019260,"[0, 133, 544, 16, 30103, 6, 1085, 780, 4, 85, 16, 372, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['The', 'service', 'is', 'alright,', 'nothing', 'special.', 'It', 'is', 'great.']","['The', 'service', 'is', 'alright,', 'nothing', 'special.', 'It', 'is', 'great.']","[4.895244949558513, 4.403561334409367, 4.489339313017367, 4.77761850359667, 8.23989664017452, 5.142020150095714, 4.304373793612272, 5.173451319979278, 4.837868352785382]",positive
3,r2-0019262,"[0, 17212, 21, 365, 1629, 13, 3023, 462, 9366, 19, 27339, 1033, 6, 5373, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","[3.2916891370815855, 4.326876548113473, 3.0509043818256165, 2.8471826683434647, 5.30051038438095, 4.1237591520757295, 4.46926577419253, 3.6547230432769866, 4.895083456394148]",negative
4,r2-0019263,"[0, 133, 11471, 11, 5, 1537, 32, 21, 45, 2342, 11286, 8, 3820, 19, 19230, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['The', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","['The', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","[3.6969796802065926, 4.083305574730274, 4.5349343767441175, 3.559579559032732, 4.726138666971337, 3.5492189319687086, 3.682416342849931, 3.540179048725167, 3.623103015879588, 3.6797352282183846, 4.684279833067164, 3.434609309319156, 5.370339159899628]",negative
5,r2-0019264,"[0, 100, 21, 98, 7785, 14, 42, 689, 29143, 35745, 1070, 8, 29693, 360, 137, 6, 95, 99, 65, 7634, 4549, 13, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['I', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","['I', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","[2.3516760375888626, 2.7138264053296974, 2.9555012541812125, 2.646640313851675, 2.7563833000130633, 2.954074205609016, 2.2964396603365116, 3.001883183956359, 2.2368124029370122, 3.20092785039931, 2.8778704010991514, 2.666234794773865, 3.0212685736118, 3.488915265259759, 6.156161152116227, 2.498258420038586, 3.0464501796622736, 3.36872651600165, 2.9919427965508425]",negative
6,r2-0019265,"[0, 2387, 512, 938, 75, 447, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['My', 'car', ""wasn't"", 'working.']","['My', 'car', ""wasn't"", 'working.']","[6.929902856911886, 7.777547485245251, 7.518465567992046, 7.586023705388974]",negative
7,r2-0019266,"[0, 713, 16, 65, 9, 5, 367, 2127, 11, 2461, 38, 348, 551, 127, 512, 7, 55, 87, 683, 4, 85, 269, 10889, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['This', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'Vegas', ""I've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'It', 'really', 'rocks.']","['This', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'Vegas', ""I've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'It', 'really', 'rocks.']","[3.0418531597047416, 2.797912003860197, 2.888574257966175, 2.683127803479774, 2.9372366553234572, 3.0317603232571653, 2.2200346352001077, 3.847708137499012, 2.8519642788306467, 2.388107074474296, 2.78334773427013, 2.917897160747672, 2.590271847420098, 3.1858178040888374, 3.570182641051023, 3.560979580452204, 2.7407763008298995, 3.5317889769803767, 3.702802911839551, 3.2680752383555074]",positive
8,r2-0019267,"[0, 46255, 12988, 9, 18833, 185, 86, 7, 836, 66, 31, 5, 4647, 8, 317, 15, 5, 2103, 116, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['Basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","['Basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","[3.242788064471658, 2.7366675963145037, 3.371679805160567, 3.518499495617072, 3.5298867617150194, 3.2382804352967374, 3.849085140604908, 3.93272159884615, 3.27842101043801, 4.006966834612473, 4.174909237870913, 2.507690807599309, 4.951043999684081, 3.156602241563404, 3.9539900076019587, 4.167444651215815, 3.085476264074495]",neutral
9,r2-0019270,"[0, 970, 33, 57, 98, 171, 6587, 383, 11, 42, 76, 9, 2760, 6, 53, 5, 1400, 34, 45, 685, 63, 2842, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['There', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","['There', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","[3.2777399804033274, 2.5823460446347233, 3.4642036025833685, 2.941437954198663, 2.684811907858598, 2.7496471629902772, 3.0341999582151535, 3.296738226818311, 2.9706189199122006, 2.6352914470540747, 3.0021698521396574, 2.9870917952308766, 6.4741980495623555, 2.6681432850101054, 3.119750680448646, 3.097920697669219, 2.9904336542894767, 2.957614931038543, 2.708026225075273, 2.7780319743594917]",positive
