,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,attention,label,rationale_binary
0,0,146,"[0, 627, 1569, 16, 818, 2198, 12622, 11, 31803, 2156, 2755, 8, 4292, 3722, 6866, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","[4.257215950020099, 3.410285484356198, 4.280092275924281, 3.548795571185621, 3.2107743352826548, 3.8899971658177757, 5.147606166355745, 2.874673287433969, 3.4978000152957684, 2.912185428005451, 5.125853548923542, 3.2162745354731945, 2.8592307520624947]",negative,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
1,1,190,"[0, 2262, 11, 909, 42661, 35499, 7017, 42381, 8685, 2389, 480, 24, 128, 29, 5, 19974, 12, 9169, 5313, 20286, 25, 36850, 459, 12, 3512, 9066, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance', '--', ""it's"", 'the', 'sci-fi', 'comedy', 'spectacle', 'as', 'whiffle-ball', 'epic.']","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance', '--', ""it's"", 'the', 'sci-fi', 'comedy', 'spectacle', 'as', 'whiffle-ball', 'epic.']","[2.4504403137426616, 3.4891745808837027, 2.8440632177614953, 2.4438604455824247, 2.281401932423071, 2.4396672438432705, 2.2396081435638617, 1.8828094212461621, 2.361731968474364, 3.051505860697376, 3.1926332811515157, 2.7751506829583, 3.001858142039623, 3.1344906825216454, 2.421307428655155, 2.087636395288527]",negative,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0]"
2,2,585,"[0, 757, 13447, 293, 25, 10, 6707, 6459, 14525, 2156, 2200, 23520, 8, 2038, 14082, 1666, 95, 59, 25, 22577, 8, 30203, 25, 22209, 313, 41123, 128, 21, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', '`', ""manhunter'was.""]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', ""`manhunter'was.""]","[1.9973520407688188, 3.0565616364219244, 2.5153885786408177, 2.3822756138485586, 2.750708376482502, 2.2160187769600266, 2.2839296190025244, 2.6911916698173357, 2.227005405438768, 2.1994736038448304, 2.6148031639697944, 2.977654156504114, 1.8233337909296656, 2.278333024828691, 2.472144572064231, 2.435814938941202, 2.5729592770720875, 5.0798084429923716]",positive,
3,3,656,"[0, 20235, 12904, 12152, 29, 4008, 31, 258, 707, 8, 5, 7308, 9, 5, 24160, 4311, 2156, 24, 10200, 7, 3014, 258, 10, 672, 9, 10364, 30368, 8, 1050, 12, 8056, 3768, 14, 23829, 5, 2437, 11, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human-scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human-scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","[2.297110031649861, 1.7271779507758076, 1.7214723384826895, 2.3289965494839655, 1.930850090537718, 2.4049459189371225, 1.9773981036900552, 1.7617481095539478, 2.0283423177567528, 2.1258817442505595, 2.3532487055307354, 1.8831938716899663, 2.3907291154131762, 1.5980783527268074, 1.6623261234770452, 1.8638355313880224, 2.1918039681782484, 2.266135183779411, 2.200180773895774, 1.6241807515827806, 2.111069122002691, 2.342465751529439, 1.652982359487865, 1.9281148607124097, 1.6376538744321947, 1.9161716825571213, 2.508129763801964, 1.6410604161833129, 1.6212921297640965, 1.9888253501494495, 1.8309633456237282]",positive,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
4,4,758,"[0, 605, 13093, 154, 2653, 10, 828, 41, 1488, 2839, 5580, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","[4.221741589477554, 3.6908184751680695, 5.379744930139377, 4.653937628286595, 5.927491934929502]",negative,"[0, 0, 1, 0, 1]"
5,5,830,"[0, 330, 853, 1193, 1396, 8, 6154, 22806, 2045, 7, 28, 11, 10, 3096, 7, 192, 54, 64, 66, 12, 10999, 12, 7257, 5, 97, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out-bad-act', 'the', 'other.']","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out-bad-act', 'the', 'other.']","[2.652065940804436, 2.3690353500707855, 2.03088484419658, 2.485664833627049, 3.036813280049171, 2.855728710673368, 2.7032169228665714, 2.9996254608039385, 2.9279928418514816, 3.1739585540584034, 3.314720578919983, 3.354135106312737, 2.790641878323048, 3.2049199991677497, 2.879651169851999, 2.896096092734884]",negative,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
6,6,952,"[0, 17291, 16170, 2156, 17605, 42360, 4463, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['pitiful,', 'slapdash', 'disaster.']","['...', 'pitiful,', 'slapdash', 'disaster.']","[0, 5.873945029077824, 6.232893109636096, 7.618641989397935]",negative,"[0, 0, 0, 1]"
7,7,1050,"[0, 30303, 275, 9, 5, 76, 4230, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['another', 'best', 'of', 'the', 'year', 'selection.']","['another', 'best', 'of', 'the', 'year', 'selection.']","[7.811760109188448, 6.336160189203993, 6.999503710201704, 7.5638548756003505, 5.538244597713505, 5.858389450883967]",positive,"[1, 0, 0, 1, 0, 0]"
8,8,1453,"[0, 20068, 366, 8, 9074, 5317, 33, 6839, 11877, 480, 49, 1363, 8, 8728, 8556, 2156, 150, 393, 269, 7578, 1538, 2156, 16, 31966, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry', '--', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry', '--', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","[2.1410803810814536, 2.268817032515066, 3.1947828985199838, 2.4615131778626886, 2.9816365284384214, 2.934206673450467, 2.549116847923491, 2.857936850191686, 2.513857291266992, 2.525030049361555, 2.495624748114255, 3.1870793088281655, 3.103954824383878, 2.1409674684871156, 2.5016768437834522, 2.404826642554112, 2.6227847250697196, 2.5115735772147914]",positive,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
9,9,1749,"[0, 46076, 65, 9, 5, 144, 7920, 40327, 9, 10, 657, 7226, 655, 2021, 7, 822, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","[3.114203979523135, 3.5960889371958014, 3.390224015695952, 3.978933380410166, 3.4415262626490213, 3.9705949677257637, 3.7126144833003343, 3.167190329217947, 4.855944212428857, 2.993365992824473, 4.728830232054854, 3.127187911969664, 3.4335120040750406, 4.833345727996421, 3.1573574016300743]",positive,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0]"
