,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,lrp,label,rationale_binary
0,0,r2-0019256,"[2, 14, 415, 7454, 63, 21, 865, 20, 1994, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","['the', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","[0.012041285634040833, -0.009597757831215858, -0.01097702793776989, -0.007505105342715979, -0.007948369719088078, 0.010104283690452576, 0.006915305275470018, 0.004121213220059872]",positive,"[1, 0, 0, 0, 0, 1, 0, 0]"
1,1,r2-0019259,"[2, 31, 296, 20, 1232, 21887, 1415, 26, 14, 64, 85, 27, 51, 4455, 9, 32, 23, 737, 962, 22, 18, 4455, 86, 31, 223, 22, 38, 57, 2414, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'went', 'to', 'campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'it', 'was', 'someone', ""else's"", 'birthday', 'so', 'i', ""didn't"", 'have', 'fun.']","['i', 'went', 'to', 'campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'it', 'was', 'someone', ""else's"", 'birthday', 'so', 'i', ""didn't"", 'have', 'fun.']","[0.0005734771839343011, 0.005130690056830645, -0.007005376275628805, 0.004129387438297272, 0.0006474010297097266, 0.005246741697192192, -0.0027312911115586758, -0.007585669402033091, 0.010593805462121964, 0.002792910672724247, -0.008260264992713928, -0.010335340164601803, -0.003931351937353611, -0.004485893528908491, -0.0028530778363347054, 0.005941854324191809, -0.003001477802172303, 0.005357600282877684, 0.003917844034731388, 0.0037283601704984903, -0.0022595387417823076]",negative,"[0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
2,2,r2-0019260,"[2, 14, 365, 25, 11885, 15, 626, 621, 9, 32, 25, 374, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'service', 'is', 'alright,', 'nothing', 'special.', 'it', 'is', 'great.']","['the', 'service', 'is', 'alright,', 'nothing', 'special.', 'it', 'is', 'great.']","[-0.008965895511209965, -0.009052804671227932, 0.000866999733261764, -0.007389861159026623, -0.006261595990508795, 0.007884874008595943, -0.004659590777009726, 0.0115247443318367, 0.00071117834886536]",positive,"[0, 0, 1, 0, 0, 1, 0, 1, 0]"
3,3,r2-0019262,"[2, 2162, 23, 547, 4403, 26, 993, 255, 10684, 29, 20, 5574, 18, 15, 3328, 187, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","[0.005248874891549349, 0.005045410245656967, -0.0029254374094307423, 0.0037485631182789803, -4.642285784939304e-05, 0.0029315815772861242, 0.005490552634000778, 0.004309521056711674, -0.0034244023263454437]",negative,"[1, 1, 0, 0, 0, 0, 1, 0, 0]"
4,4,r2-0019263,"[2, 14, 9594, 19, 14, 757, 50, 23, 52, 26023, 17, 1943, 29, 13925, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","['the', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","[-0.006498311646282673, -0.001124568865634501, -0.004425854422152042, -0.008523697964847088, 0.0024336876813322306, 0.002783903619274497, 0.004880169406533241, 0.0037618656642735004, 0.002625660505145788, -0.008386089466512203, 0.0011759598273783922, -0.00871900375932455, 0.005262473132461309]",negative,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1]"
5,5,r2-0019264,"[2, 31, 23, 86, 3539, 30, 48, 950, 14155, 302, 438, 1669, 17, 20898, 509, 115, 15, 114, 98, 53, 16058, 12934, 26, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","['i', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","[0.001855298294685781, 0.0027331060264259577, -0.0017968384781852365, -0.006952981930226088, -0.0009977082954719663, -0.004834116902202368, 0.007168068550527096, 0.0009555827709846199, -0.004350187722593546, 0.004858338739722967, 0.0029106426518410444, -0.004231677856296301, -0.006646421272307634, -0.005993114784359932, -0.006971826311200857, -0.0037846574559807777, 0.010570635087788105, 0.01216871663928032, 0.005913771688938141]",positive,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1]"
6,6,r2-0019265,"[2, 51, 349, 526, 22, 38, 638, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['my', 'car', ""wasn't"", 'working.']","['my', 'car', ""wasn't"", 'working.']","[-0.0007046991377137601, 0.00043144443770870566, 0.005018435884267092, 0.009348340332508087]",negative,"[0, 0, 0, 1]"
7,7,r2-0019266,"[2, 48, 25, 53, 16, 14, 310, 1489, 19, 6432, 31, 22, 195, 658, 51, 349, 20, 91, 119, 382, 9, 32, 510, 4860, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['this', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'vegas', ""i've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'it', 'really', 'rocks.']","['this', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'vegas', ""i've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'it', 'really', 'rocks.']","[-0.007288255728781223, 0.002852923236787319, -0.0004258108092471957, -0.002330406103283167, -0.0026075635105371475, 0.006297670770436525, 0.007951674982905388, 0.004636697005480528, -0.011467225849628448, 0.002880990970879793, -0.001812776899896562, -0.00469210697337985, -0.0013335068942978978, -0.004848757293075323, -0.007257087621837854, 0.002051248913630843, 0.0055408840999007225, 0.012555914930999279, 0.003641606541350484, 0.007887143641710281]",positive,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
8,8,r2-0019267,"[2, 2125, 15737, 16, 16207, 247, 85, 20, 1499, 70, 37, 14, 1949, 17, 209, 27, 14, 859, 60, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","['basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","[0.004736053291708231, 0.00916793942451477, -0.003039506496861577, 0.006512016989290714, 0.010517697781324387, 0.0021034982055425644, -0.004844312556087971, 0.011552268639206886, -0.0030972438398748636, -0.0015624065417796373, 0.03579988703131676, 0.0019233120838180184, -0.011424271389842033, -0.0021583670750260353, -0.008082225918769836, -0.006903534755110741, 0.0016339386347681284]",negative,"[0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
9,9,r2-0019270,"[2, 80, 57, 74, 86, 151, 5803, 564, 19, 48, 159, 16, 13906, 15, 47, 14, 1718, 63, 52, 529, 82, 1723, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['there', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","['there', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","[0.0002449580642860383, -0.004514747764915228, 0.00021690857829526067, 0.003840089775621891, 0.008224750868976116, 0.0077855451963841915, 0.015940843150019646, 0.007810555398464203, -0.004294713959097862, 0.0006003359449096024, -0.0010938914492726326, -0.006104443222284317, -0.012968773953616619, 0.004388628527522087, -0.00472220778465271, -0.0042737494222819805, -0.003984520677477121, 0.003980228677392006, -0.009594609029591084, -0.008345653302967548]",positive,"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
