,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,lrp,label,rationale_binary
0,0,r2-0019256,"[2, 14, 415, 7454, 63, 21, 865, 20, 1994, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","['the', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","[-0.0022359860595315695, 0.034641582518815994, 0.021462062373757362, 0.015831811353564262, 0.014877485111355782, 0.008131438866257668, -0.00979259330779314, -0.00059578224318102]",positive,"[0, 1, 1, 1, 0, 0, 0, 0]"
1,1,r2-0019259,"[2, 31, 296, 20, 1232, 21887, 1415, 26, 14, 64, 85, 27, 51, 4455, 9, 32, 23, 737, 962, 22, 18, 4455, 86, 31, 223, 22, 38, 57, 2414, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'went', 'to', 'campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'it', 'was', 'someone', ""else's"", 'birthday', 'so', 'i', ""didn't"", 'have', 'fun.']","['i', 'went', 'to', 'campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'it', 'was', 'someone', ""else's"", 'birthday', 'so', 'i', ""didn't"", 'have', 'fun.']","[-0.009821317158639431, -0.00020693386613857, -0.014613455161452293, 0.004743790719658136, 0.07823414355516434, -0.009007523767650127, -0.02127763070166111, -0.026292312890291214, -0.005985476076602936, -0.0015689952997490764, -0.005203588865697384, 0.0014703895431011915, 0.004953810945153236, -0.003077171044424176, -0.0027682161889970303, 0.004846664145588875, -0.00014827545965090394, -0.005007978994399309, 0.0069392588920891285, 0.0013262268621474504, 0.0005124190356582403]",negative,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0]"
2,2,r2-0019260,"[2, 14, 365, 25, 11885, 15, 626, 621, 9, 32, 25, 374, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'service', 'is', 'alright,', 'nothing', 'special.', 'it', 'is', 'great.']","['the', 'service', 'is', 'alright,', 'nothing', 'special.', 'it', 'is', 'great.']","[-0.013472731225192547, -0.010541491210460663, -0.009984971024096012, 0.0015098657459020615, -0.017918052151799202, -0.009284939616918564, -0.011869004927575588, -0.023023957386612892, -0.013632857240736485]",positive,"[0, 0, 1, 1, 0, 1, 0, 0, 0]"
3,3,r2-0019262,"[2, 2162, 23, 547, 4403, 26, 993, 255, 10684, 29, 20, 5574, 18, 15, 3328, 187, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","[0.0008144321036525071, 0.002964290324598551, -0.007123952265828848, 0.003248492954298854, -0.0068695805966854095, -0.012354384176433086, 0.0077704377472400665, -0.0030884300358593464, -0.0011919534299522638]",negative,"[0, 1, 0, 1, 0, 0, 1, 0, 0]"
4,4,r2-0019263,"[2, 14, 9594, 19, 14, 757, 50, 23, 52, 26023, 17, 1943, 29, 13925, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","['the', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","[0.0013938184129074216, -0.012890505604445934, -0.017729880288243294, -0.0024549104273319244, 0.002371624344959855, -0.011420559138059616, 0.003991045989096165, 0.009065256454050541, -0.0027284109964966774, 0.002756821922957897, -0.00017603840387891978, -0.026247188448905945, -0.007714984007179737]",negative,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0]"
5,5,r2-0019264,"[2, 31, 23, 86, 3539, 30, 48, 950, 14155, 302, 438, 1669, 17, 20898, 509, 115, 15, 114, 98, 53, 16058, 12934, 26, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","['i', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","[0.009540127590298653, 0.016870681196451187, -0.010533363558351994, 0.014603976160287857, 0.007962227798998356, 0.011981776915490627, -0.014582764357328415, -0.014366122893989086, 0.01035220269113779, 0.004990088753402233, 0.00574706494808197, -0.00933256559073925, 0.0084799500182271, 0.020807545632123947, -0.2593858242034912, -0.009091909974813461, 0.026381662115454674, -0.009867025539278984, 0.009100747294723988]",positive,"[1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
6,6,r2-0019265,"[2, 51, 349, 526, 22, 38, 638, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['my', 'car', ""wasn't"", 'working.']","['my', 'car', ""wasn't"", 'working.']","[-0.009465492330491543, 0.007963639684021473, 0.0030451295897364616, -0.0024454777594655752]",negative,"[0, 1, 0, 0]"
7,7,r2-0019266,"[2, 48, 25, 53, 16, 14, 310, 1489, 19, 6432, 31, 22, 195, 658, 51, 349, 20, 91, 119, 382, 9, 32, 510, 4860, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['this', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'vegas', ""i've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'it', 'really', 'rocks.']","['this', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'vegas', ""i've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'it', 'really', 'rocks.']","[-0.002861695596948266, 0.007172652054578066, 5.6064864111249335e-06, -0.006052159238606691, 0.0037952493876218796, 0.00028269796166568995, 0.001161101390607655, -0.0020859285723417997, -0.004358469508588314, 0.00407497538253665, 0.007352123036980629, -0.0020788414403796196, 0.01445748656988144, -0.002001851797103882, -0.00016932081780396402, -0.013362821191549301, 0.002191072329878807, -0.008570757694542408, 0.005252079106867313, -0.005280592944473028]",positive,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0]"
8,8,r2-0019267,"[2, 2125, 15737, 16, 16207, 247, 85, 20, 1499, 70, 37, 14, 1949, 17, 209, 27, 14, 859, 60, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","['basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","[-0.009349220432341099, 0.0071098897606134415, 0.0005011858302168548, 0.012614901177585125, -0.0014460249803960323, 0.0004365266358945519, 0.0265080276876688, -0.008098880760371685, -0.023103687912225723, 0.06359386444091797, -0.008144637569785118, -0.009601379744708538, 0.005597386043518782, -0.006451336666941643, -0.009439070709049702, -0.009587607346475124, 0.0063306004740297794]",neutral,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]"
9,9,r2-0019270,"[2, 80, 57, 74, 86, 151, 5803, 564, 19, 48, 159, 16, 13906, 15, 47, 14, 1718, 63, 52, 529, 82, 1723, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['there', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","['there', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","[-0.004710829816758633, 0.004968577530235052, 0.006406542845070362, 0.0024019198026508093, -0.007459297776222229, -0.0060635521076619625, 0.0021109385415911674, -0.0034859306178987026, -0.005977025721222162, -0.0165333840996027, -0.006802554242312908, -0.011026163585484028, -0.0036022155545651913, -0.003434779355302453, -0.0024962325114756823, 0.0024194354191422462, -0.018167143687605858, -0.002475238172337413, -0.011505739763379097, -0.016960419714450836]",positive,"[0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]"
