,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,lrp,label,rationale_binary
0,0,146,"[2, 14, 1308, 25, 557, 1524, 11690, 19, 24617, 13, 15, 2624, 17, 8224, 6090, 8988, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","[-0.016049832105636597, 0.0198409054428339, 0.013226720504462719, -0.019998138770461082, -0.00014407472917810082, -0.019717885181307793, -0.005096132401376963, -0.004748972598463297, 0.008482242934405804, 0.005567136686295271, 0.0021277836058288813, -0.004929017275571823, -0.009434415027499199]",negative,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
1,1,190,"[2, 304, 19, 319, 595, 4689, 18, 6612, 19, 11255, 24831, 6175, 13, 8, 8, 32, 13, 22, 18, 14, 9569, 8, 1707, 2459, 18668, 28, 11153, 6021, 413, 8, 3610, 7269, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance', '--', ""it's"", 'the', 'sci-fi', 'comedy', 'spectacle', 'as', 'whiffle-ball', 'epic.']","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance', '--', ""it's"", 'the', 'sci-fi', 'comedy', 'spectacle', 'as', 'whiffle-ball', 'epic.']","[0.016817333176732063, 0.0034685973078012466, 0.003087143413722515, 0.0013890753034502268, 0.0062166363932192326, -0.00348479300737381, -0.0056169782765209675, -0.0014956311788409948, 0.015428215265274048, 0.012842745520174503, 0.01559692993760109, -0.003587174927815795, 0.0031576580367982388, 0.011928597465157509, 0.010229885578155518, 0.00298045645467937]",positive,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
2,2,585,"[2, 15992, 160, 28, 21, 6148, 5655, 9529, 13, 15, 2157, 14603, 17, 736, 5004, 13, 9, 9, 9, 114, 88, 28, 7385, 68, 17, 28947, 28, 13, 1, 169, 15214, 13, 22, 23, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', ""manhunter'was.""]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', ""manhunter'was.""]","[0.004318105522543192, 0.0036922122817486525, 0.005578675307333469, 0.0009497167775407434, -0.0023977223318070173, -0.0007179061649367213, 0.00509438943117857, -0.0021331484895199537, -0.012502542696893215, 0.004047987051308155, 0.013875032775104046, 0.009624896571040154, 0.01589231938123703, 0.0039070178754627705, 0.001282713608816266, 0.00907974410802126, 0.008162357844412327, -0.003616377478465438]",positive,
3,3,656,"[2, 133, 10116, 14471, 18, 2991, 37, 156, 810, 17, 14, 2370, 16, 14, 8624, 18, 13, 15, 32, 9118, 20, 4027, 156, 21, 662, 16, 13388, 24521, 17, 585, 8, 5093, 1766, 30, 8466, 14, 2663, 19, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human-scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human-scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","[-0.0182952880859375, -0.014039278961718082, -0.0025937568861991167, -0.0056488909758627415, -0.003823235398158431, -0.0023692918475717306, -0.016027051955461502, -0.0019974280148744583, 0.0003775874793063849, -0.01267836894840002, -0.012636094354093075, 0.0017573520308360457, -0.0019450209802016616, -0.011966533027589321, -0.002405319595709443, 0.0024158640298992395, -0.018124066293239594, -0.008928641676902771, 0.006726227235049009, -0.00010390842362539843, 0.010510300286114216, -0.0132680032402277, -0.006504881661385298, -0.003762116888538003, -0.023290535435080528, 0.10581259429454803, 0.15887877345085144, -0.08357694745063782, -0.010372282937169075, 0.0007322060409933329, -0.0007152986363507807]",positive,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]"
4,4,758,"[2, 3349, 5121, 21, 1142, 13, 1629, 19973, 3771, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","[0.0013569816946983337, 0.006497273687273264, -0.021329326555132866, 0.00767328729853034, -0.0026070792227983475]",negative,"[0, 0, 0, 1, 0]"
5,5,830,"[2, 6764, 1635, 1031, 17, 9970, 2260, 20, 44, 19, 21, 3013, 20, 196, 72, 92, 70, 8, 5989, 8, 5183, 14, 89, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out-bad-act', 'the', 'other.']","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out-bad-act', 'the', 'other.']","[-0.003439731663092971, -0.014993613585829735, -0.004768270067870617, 0.0010336374398320913, 0.00867369119077921, 0.0032345664221793413, 0.01463055144995451, 0.014593730680644512, 0.018794145435094833, -0.011099700815975666, 0.007864185608923435, 0.009338593110442162, 0.008904308080673218, -0.004340083338320255, 0.004240351263433695, -0.0057033211924135685]",negative,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
6,6,952,"[2, 28694, 13, 15, 11985, 43, 6031, 5302, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['pitiful,', 'slapdash', 'disaster.']","['...', 'pitiful,', 'slapdash', 'disaster.']","[0, 0.007446031551808119, 0.007998157292604446, 0.01882706768810749]",negative,"[0, 0, 0, 1]"
7,7,1050,"[2, 226, 246, 16, 14, 159, 3155, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['another', 'best', 'of', 'the', 'year', 'selection.']","['another', 'best', 'of', 'the', 'year', 'selection.']","[-0.0039023675490170717, -0.010825378820300102, 0.007343374192714691, -0.015760546550154686, -0.009326617233455181, -0.0019676093943417072]",positive,"[0, 0, 1, 0, 0, 1]"
8,8,1453,"[2, 23124, 18, 17, 5913, 532, 57, 14622, 5427, 13, 8, 8, 66, 2833, 17, 4478, 5948, 13, 15, 133, 243, 510, 3969, 1333, 13, 15, 25, 4370, 306, 579, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry', '--', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry', '--', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","[0.002533544786274433, -0.0016370932571589947, 0.003014073008671403, -0.003778779413551092, -0.004107764922082424, -7.98203400336206e-05, -0.0013589969603344798, -0.003717713290825486, -0.004945128224790096, -0.005026374943554401, -0.004522683564573526, -0.0023638869170099497, 0.0016689217882230878, 0.006109328009188175, 0.004669515881687403, -0.0037901666946709156, -0.0009311518515460193, 0.0012822079006582499]",positive,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
9,9,1749,"[2, 967, 53, 16, 14, 127, 13808, 12506, 18, 16, 21, 339, 5675, 462, 4164, 20, 171, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","[-0.010467225685715675, -0.025818152353167534, -0.0066195023246109486, 0.000495519838295877, -0.016828827559947968, -0.0006140415789559484, 0.005402056034654379, 0.004618375562131405, -0.0067490478977561, -0.0032383992802351713, 0.0009584614308550954, 0.001422641915269196, -1.2478334610932507e-05, 0.014121653512120247, 0.0047501977533102036]",positive,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1]"
