,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,lrp,label,rationale_binary
0,0,r2-0019256,"[101, 1996, 2396, 8327, 2038, 1037, 2843, 2000, 3749, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","['the', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","[0.09292635321617126, -0.07232863456010818, -0.020694134756922722, -0.015981383621692657, -0.0043801069259643555, 0.0021589056123048067, 0.006067609414458275, 0.002387411892414093]",positive,"[1, 0, 0, 0, 0, 0, 1, 1]"
1,1,r2-0019259,"[101, 1045, 2253, 2000, 3409, 8490, 3630, 4135, 2005, 1996, 2034, 2051, 2006, 2026, 5798, 1012, 2009, 2001, 2619, 2842, 1005, 1055, 5798, 2061, 1045, 2134, 1005, 1056, 2031, 4569, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'went', 'to', 'campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'it', 'was', 'someone', ""else's"", 'birthday', 'so', 'i', ""didn't"", 'have', 'fun.']","['i', 'went', 'to', 'campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'it', 'was', 'someone', ""else's"", 'birthday', 'so', 'i', ""didn't"", 'have', 'fun.']","[-0.02646471932530403, 0.007417724467813969, 0.010927701368927956, 0.007483948487788439, 0.0027577418368309736, 0.00019209824677091092, 0.005396394990384579, -0.0007547560962848365, -0.15393900871276855, 0.004957815632224083, -0.0015979028539732099, 0.0008419225923717022, -0.006899228785187006, -0.001004212535917759, 0.024208851158618927, 0.016393911093473434, 0.0029146268498152494, 0.011396681889891624, 0.01962248794734478, -0.012612189166247845, 0.005682778544723988]",neutral,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0]"
2,2,r2-0019260,"[101, 1996, 2326, 2003, 10303, 1010, 2498, 2569, 1012, 2009, 2003, 2307, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'service', 'is', 'alright,', 'nothing', 'special.', 'it', 'is', 'great.']","['the', 'service', 'is', 'alright,', 'nothing', 'special.', 'it', 'is', 'great.']","[-0.012137563899159431, -0.05146070569753647, -0.011962593533098698, -0.0038755242712795734, -0.006820842158049345, 0.025572365149855614, 0.0007716015097685158, -0.10056362301111221, -0.009547526016831398]",positive,"[0, 0, 0, 1, 0, 1, 1, 0, 0]"
3,3,r2-0019262,"[101, 3976, 2001, 2340, 1002, 2005, 28712, 10733, 2007, 22286, 2015, 1010, 4689, 999, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['price', 'was', '11', '$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","['price', 'was', '11', '$for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","[0.0026776727754622698, -0.008329285308718681, -0.007421514485031366, -0.011128110811114311, 0.00805392861366272, -0.0019688382744789124, -0.0060879262164235115, -0.00787382386624813, 0.033307354897260666]",negative,"[1, 0, 0, 0, 1, 0, 0, 0, 1]"
4,4,r2-0019263,"[101, 1996, 11848, 1999, 1996, 2691, 2024, 2001, 2025, 23519, 1998, 3561, 2007, 12883, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","['the', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","[-0.010013697668910027, -0.00903772097080946, 0.005825450178235769, -0.004372093360871077, 6.439140270231292e-05, -0.02802671305835247, 0.002789729740470648, -0.004125215578824282, -0.00811300054192543, -0.025007817894220352, -0.0018330550519749522, -0.00873573124408722, -0.007939593866467476]",negative,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
5,5,r2-0019264,"[101, 1045, 2001, 2061, 5580, 2008, 2023, 2833, 12595, 2128, 20192, 3064, 1998, 17020, 2420, 2077, 1010, 2074, 2054, 2028, 12778, 12882, 2005, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","['i', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","[-0.07538372278213501, -0.02261163853108883, 0.026606488972902298, -0.006992142181843519, -0.02720688097178936, -0.0016729698982089758, 0.01692146062850952, 0.06311702728271484, 0.005906642880290747, -0.0019655697979032993, -0.0003477050340734422, 0.022494696080684662, -0.00031113254954107106, 0.0003963315684814006, -0.011776629835367203, 0.03162052482366562, 0.0002977066033054143, 0.0028689145110547543, 0.004510767292231321]",negative,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
6,6,r2-0019265,"[101, 2026, 2482, 2347, 1005, 1056, 2551, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['my', 'car', ""wasn't"", 'working.']","['my', 'car', ""wasn't"", 'working.']","[0.0007062306976877153, 0.01411253958940506, -0.00896100327372551, -0.055660709738731384]",negative,"[0, 1, 0, 0]"
7,7,r2-0019266,"[101, 2023, 2003, 2028, 1997, 1996, 2261, 3182, 1999, 7136, 1045, 1005, 2310, 2579, 2026, 2482, 2000, 2062, 2084, 2320, 1012, 2009, 2428, 5749, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['this', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'vegas', ""i've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'it', 'really', 'rocks.']","['this', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'vegas', ""i've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'it', 'really', 'rocks.']","[0.02857496216893196, 0.018270593136548996, -0.011853262782096863, -0.0030086396727710962, -0.12823401391506195, -0.00017641170416027308, -0.002776306588202715, 0.006145430728793144, -0.0072210016660392284, -0.02556297741830349, -0.011646644212305546, 0.00296626053750515, -0.01760687306523323, -0.027444159612059593, -0.010808390565216541, 0.03413926064968109, -0.005407903343439102, 0.0046165515668690205, 0.020952170714735985, 0.10243332386016846]",positive,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1]"
8,8,r2-0019267,"[101, 3937, 10268, 1997, 14904, 2202, 2051, 2000, 3288, 2041, 2013, 1996, 3829, 1998, 2173, 2006, 1996, 2795, 1029, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","['basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","[-0.007034345995634794, 0.013291030190885067, -0.004392822273075581, 0.044064685702323914, -0.001967786345630884, -0.00392500776797533, 0.019691867753863335, 0.005414289887994528, 0.06020921468734741, 0.032019250094890594, -0.04984050244092941, 0.005876122508198023, 0.04775004833936691, 0.044919729232788086, -0.039811160415410995, -0.033196091651916504, -0.00701958779245615]",neutral,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0]"
9,9,r2-0019270,"[101, 2045, 2031, 2042, 2061, 2116, 6659, 2477, 1999, 2023, 2095, 1997, 12609, 1010, 2021, 1996, 3573, 2038, 2025, 2439, 2049, 3543, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['there', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","['there', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","[-0.004933365620672703, -0.021577531471848488, 0.00587782496586442, 0.028464840725064278, 0.0386088527739048, 0.02332981862127781, 0.015290385112166405, -0.0027371086180210114, 0.0037547412794083357, -0.002443640260025859, 0.0011245408095419407, -0.01613985188305378, 0.0015829199692234397, 0.0015297350473701954, 0.08123571425676346, -0.0015900499420240521, 0.007420853246003389, 0.005033968482166529, -0.005281785968691111, 0.0015746870776638389]",positive,"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
