,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,lrp,label,rationale_binary
0,0,r2-0019256,"[101, 1996, 2396, 8327, 2038, 1037, 2843, 2000, 3749, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","['the', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","[-0.04473249614238739, 0.03855615481734276, -0.05218514800071716, -0.03867598995566368, -0.04353834688663483, 0.014865671284496784, -0.019437367096543312, -0.09743008762598038]",positive,"[0, 1, 0, 0, 0, 1, 0, 0]"
1,1,r2-0019259,"[101, 1045, 2253, 2000, 3409, 8490, 3630, 4135, 2005, 1996, 2034, 2051, 2006, 2026, 5798, 1012, 2009, 2001, 2619, 2842, 1005, 1055, 5798, 2061, 1045, 2134, 1005, 1056, 2031, 4569, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'went', 'to', 'campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'it', 'was', 'someone', ""else's"", 'birthday', 'so', 'i', ""didn't"", 'have', 'fun.']","['i', 'went', 'to', 'campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'it', 'was', 'someone', ""else's"", 'birthday', 'so', 'i', ""didn't"", 'have', 'fun.']","[-0.00661045964807272, -0.003171269316226244, 0.006240169517695904, -0.006704265717417002, -0.010079302825033665, -0.0062102978117764, 0.0069391075521707535, -0.00638183206319809, 0.06884923577308655, -0.0160954799503088, -0.042775049805641174, 0.011028788052499294, -0.02005794271826744, 0.0043356274254620075, 0.03929788991808891, 0.027905618771910667, 0.0030396312940865755, 0.003904505632817745, -0.04723986238241196, -0.015775758773088455, 0.010000078938901424]",negative,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1]"
2,2,r2-0019260,"[101, 1996, 2326, 2003, 10303, 1010, 2498, 2569, 1012, 2009, 2003, 2307, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'service', 'is', 'alright,', 'nothing', 'special.', 'it', 'is', 'great.']","['the', 'service', 'is', 'alright,', 'nothing', 'special.', 'it', 'is', 'great.']","[0.006195938214659691, 0.0014344989322125912, 0.0046533565036952496, -0.01236985344439745, -0.04529888182878494, 0.018514668568968773, -0.046223338693380356, 0.005177224054932594, 0.040237389504909515]",positive,"[1, 0, 0, 0, 0, 1, 0, 0, 1]"
3,3,r2-0019262,"[101, 3976, 2001, 2340, 1002, 2005, 28712, 10733, 2007, 22286, 2015, 1010, 4689, 999, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['price', 'was', '11', '$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","['price', 'was', '11', '$for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","[-0.050048086792230606, -0.03131891041994095, -0.022133124992251396, -0.0663275420665741, 0.009001262485980988, -0.024906329810619354, 0.0029263074975460768, -0.0307552982121706, -0.005853611044585705]",positive,"[0, 0, 0, 0, 1, 0, 1, 0, 1]"
4,4,r2-0019263,"[101, 1996, 11848, 1999, 1996, 2691, 2024, 2001, 2025, 23519, 1998, 3561, 2007, 12883, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","['the', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","[-0.016474656760692596, 0.017105571925640106, -0.037515513598918915, -0.003962467424571514, 0.01516804564744234, 0.0033401530236005783, 0.011016837321221828, 0.0009229035931639373, 0.05107593908905983, 0.0057839020155370235, 0.013016637414693832, 0.0012985541252419353, 0.03205406665802002]",negative,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
5,5,r2-0019264,"[101, 1045, 2001, 2061, 5580, 2008, 2023, 2833, 12595, 2128, 20192, 3064, 1998, 17020, 2420, 2077, 1010, 2074, 2054, 2028, 12778, 12882, 2005, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","['i', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","[0.03293035551905632, -0.005528303328901529, 0.005319157615303993, -0.006703271996229887, 0.000919029233045876, -0.002858283231034875, 0.035524796694517136, -0.008370672352612019, 0.007608765736222267, 0.03165866807103157, 0.021078474819660187, 0.006823231000453234, 0.005591247230768204, 0.003503612708300352, -0.00014738269965164363, -0.012063783593475819, -0.00047756393905729055, -0.002112386981025338, 0.0015216186875477433]",positive,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
6,6,r2-0019265,"[101, 2026, 2482, 2347, 1005, 1056, 2551, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['my', 'car', ""wasn't"", 'working.']","['my', 'car', ""wasn't"", 'working.']","[-0.022986190393567085, -0.09000404924154282, 0.012670258991420269, 0.024543069303035736]",negative,"[0, 0, 0, 1]"
7,7,r2-0019266,"[101, 2023, 2003, 2028, 1997, 1996, 2261, 3182, 1999, 7136, 1045, 1005, 2310, 2579, 2026, 2482, 2000, 2062, 2084, 2320, 1012, 2009, 2428, 5749, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['this', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'vegas', ""i've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'it', 'really', 'rocks.']","['this', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'vegas', ""i've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'it', 'really', 'rocks.']","[0.017028087750077248, -0.0006666102563031018, -0.005644157528877258, 0.0010755390394479036, -0.020543038845062256, 0.07366405427455902, -0.04047732055187225, 0.003987391944974661, 0.014933021739125252, -0.02380952425301075, 0.01940299943089485, -0.003378664143383503, -0.046088799834251404, 0.05640142038464546, -0.034826092422008514, 0.0018817124655470252, 0.0011655895505100489, -0.005314457695931196, -0.011273587122559547, 0.026412861421704292]",positive,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
8,8,r2-0019267,"[101, 3937, 10268, 1997, 14904, 2202, 2051, 2000, 3288, 2041, 2013, 1996, 3829, 1998, 2173, 2006, 1996, 2795, 1029, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","['basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","[0.0034701363183557987, 0.00841137021780014, 0.009298115968704224, 0.001325742807239294, -0.00288913631811738, -0.020242732018232346, -0.008284029550850391, 0.0069134049117565155, 0.005105781368911266, 0.006558064371347427, -0.0019096042960882187, -0.03197944536805153, 0.044287148863077164, 0.054570309817790985, 0.006729628890752792, 0.0032800890039652586, 0.01661180891096592]",neutral,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
9,9,r2-0019270,"[101, 2045, 2031, 2042, 2061, 2116, 6659, 2477, 1999, 2023, 2095, 1997, 12609, 1010, 2021, 1996, 3573, 2038, 2025, 2439, 2049, 3543, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['there', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","['there', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","[-0.011762266978621483, 0.013376771472394466, -0.014598357491195202, 0.02250988595187664, -0.000484347139718011, 0.0015513211255893111, 0.0007827235967852175, -0.0873241201043129, -0.03048190101981163, -0.022136177867650986, -0.011067427694797516, 0.032598111778497696, 0.0031227138824760914, -0.02553192898631096, 0.024409571662545204, 0.07648339867591858, -0.005150000099092722, -0.01202649436891079, -1.1151078979310114e-05, 0.007056388072669506]",positive,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1]"
