,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,lrp,label,rationale_binary
0,0,r2-0019256,"[0, 133, 1808, 8483, 34, 10, 319, 7, 904, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['The', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","['The', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","[0.06313887238502502, 0.03541834279894829, 0.051953162997961044, 0.011104856617748737, 0.027023250237107277, 0.10600347816944122, 0.03968433663249016, 0.15493567287921906]",positive,"[0, 0, 0, 0, 0, 1, 0, 1]"
1,1,r2-0019259,"[0, 100, 439, 7, 4746, 11244, 5675, 13, 5, 78, 86, 15, 127, 4115, 4, 85, 21, 951, 1493, 18, 4115, 98, 38, 399, 75, 33, 1531, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['I', 'went', 'to', 'Campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'It', 'was', 'someone', ""else's"", 'birthday', 'so', 'I', ""didn't"", 'have', 'fun.']","['I', 'went', 'to', 'Campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'It', 'was', 'someone', ""else's"", 'birthday', 'so', 'I', ""didn't"", 'have', 'fun.']","[0.011373840272426605, 0.008224434219300747, -0.01691114529967308, 0.009488070383667946, 0.002792071783915162, 0.0022950354032218456, 0.005724543705582619, 0.003732684999704361, 0.004394932184368372, 0.005129214376211166, 0.006948104593902826, 0.009866873733699322, 0.010405875742435455, 0.01603015884757042, -0.0018221881473436952, 0.013847202993929386, 0.023748403415083885, 0.024767886847257614, 0.020755108445882797, 0.024008890613913536, 0.11280328035354614]",neutral,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1]"
2,2,r2-0019260,"[0, 133, 544, 16, 30103, 6, 1085, 780, 4, 85, 16, 372, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['The', 'service', 'is', 'alright,', 'nothing', 'special.', 'It', 'is', 'great.']","['The', 'service', 'is', 'alright,', 'nothing', 'special.', 'It', 'is', 'great.']","[0.03433344513177872, 0.07222390174865723, 0.045715149492025375, 0.11332881450653076, 0.006129181478172541, 0.037007495760917664, 0.028937187045812607, 0.031082144007086754, 0.041166480630636215]",positive,"[0, 1, 1, 1, 0, 0, 0, 0, 0]"
3,3,r2-0019262,"[0, 17212, 21, 365, 1629, 13, 3023, 462, 9366, 19, 27339, 1033, 6, 5373, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","[-0.015253700315952301, 0.016910046339035034, -0.009716920554637909, -0.03176114708185196, 0.047146447002887726, 0.011596747674047947, 0.01867288164794445, -0.0012754343915730715, -0.03290552645921707]",negative,"[0, 1, 0, 0, 1, 0, 1, 0, 0]"
4,4,r2-0019263,"[0, 133, 11471, 11, 5, 1537, 32, 21, 45, 2342, 11286, 8, 3820, 19, 19230, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['The', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","['The', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","[0.03247472643852234, 0.10051277279853821, -0.0010414976859465241, 0.004678863566368818, -0.011405041441321373, 0.045646701008081436, 0.09238924831151962, 0.0027203590143471956, 0.0005368265556171536, 0.023226413875818253, 0.0816788449883461, 0.08073112368583679, 0.04981289803981781]",negative,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
5,5,r2-0019264,"[0, 100, 21, 98, 7785, 14, 42, 689, 29143, 35745, 1070, 8, 29693, 360, 137, 6, 95, 99, 65, 7634, 4549, 13, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['I', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","['I', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","[0.0008427966968156397, -0.002239750698208809, 0.012540596537292004, 0.052280623465776443, 0.018775971606373787, 0.037311360239982605, 0.05300002545118332, 0.08158033341169357, 0.025316456332802773, 0.0405389629304409, 0.04205072671175003, 0.060923200100660324, 0.01728633977472782, -0.012423181906342506, 0.009596946649253368, 0.019680922850966454, 0.08988704532384872, 0.06363824754953384, 0.10136798024177551]",negative,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
6,6,r2-0019265,"[0, 2387, 512, 938, 75, 447, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['My', 'car', ""wasn't"", 'working.']","['My', 'car', ""wasn't"", 'working.']","[0.08228939026594162, 0.12884044647216797, 0.10146388411521912, 0.0372999832034111]",negative,"[0, 1, 0, 0]"
7,7,r2-0019266,"[0, 713, 16, 65, 9, 5, 367, 2127, 11, 2461, 38, 348, 551, 127, 512, 7, 55, 87, 683, 4, 85, 269, 10889, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['This', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'Vegas', ""I've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'It', 'really', 'rocks.']","['This', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'Vegas', ""I've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'It', 'really', 'rocks.']","[0.0452292263507843, 0.018999598920345306, 0.020931150764226913, 0.009260354563593864, 0.006031134631484747, 0.014054549857974052, 0.03901713341474533, 0.008929901756346226, 0.024975620210170746, 0.01890941523015499, 0.019223986193537712, 0.048265911638736725, 0.03105931729078293, 0.030432911589741707, 0.033883485943078995, 0.01129215769469738, 0.013634425587952137, 0.03964133560657501, 0.07194662094116211, 0.08463852107524872]",positive,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1]"
8,8,r2-0019267,"[0, 46255, 12988, 9, 18833, 185, 86, 7, 836, 66, 31, 5, 4647, 8, 317, 15, 5, 2103, 116, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['Basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","['Basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","[-0.0008264197967946529, 0.056360114365816116, 0.007390908431261778, 0.06953899562358856, 0.04988376796245575, 0.05403145030140877, 0.03215556964278221, 0.001700083608739078, 0.02012886479496956, -0.013507355935871601, -0.008486653678119183, -0.002835031831637025, -0.036622386425733566, -0.042087849229574203, -0.02194065786898136, -0.007344853598624468, -0.01865447498857975]",negative,"[0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,9,r2-0019270,"[0, 970, 33, 57, 98, 171, 6587, 383, 11, 42, 76, 9, 2760, 6, 53, 5, 1400, 34, 45, 685, 63, 2842, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['There', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","['There', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","[0.02008250541985035, 0.00335278594866395, 0.015444871969521046, 0.013765556737780571, 0.03265828639268875, 0.06499522924423218, 0.025070788338780403, 0.003754893783479929, 0.010952839627861977, 0.0035050592850893736, -0.006096347700804472, -0.027283748611807823, 0.006861267611384392, 0.01578252576291561, 0.030666451901197433, 0.06503801047801971, 0.011666479520499706, 0.017901498824357986, 0.07811666280031204, 0.04327592998743057]",positive,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1]"
