,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,lrp,label,rationale_binary
0,0,146,"[0, 627, 1569, 16, 818, 2198, 12622, 11, 31803, 2156, 2755, 8, 4292, 3722, 6866, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","[0.03689713031053543, 0.006453317124396563, 0.05083340033888817, -0.007689739111810923, 0.03317898139357567, -0.1414141058921814, -0.029021644964814186, -0.04531709849834442, -0.0014894487103447318, -0.10084925591945648, -0.08675763010978699, -0.08769937604665756, -0.03916759788990021]",negative,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1,1,190,"[0, 2262, 11, 909, 42661, 35499, 7017, 42381, 8685, 2389, 480, 24, 128, 29, 5, 19974, 12, 9169, 5313, 20286, 25, 36850, 459, 12, 3512, 9066, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance', '--', ""it's"", 'the', 'sci-fi', 'comedy', 'spectacle', 'as', 'whiffle-ball', 'epic.']","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance', '--', ""it's"", 'the', 'sci-fi', 'comedy', 'spectacle', 'as', 'whiffle-ball', 'epic.']","[0.006470039486885071, 0.008670216426253319, 0.004347010515630245, -0.019344549626111984, -0.13697418570518494, -0.02141064777970314, 0.0958477184176445, 0.06372275203466415, 0.06914560496807098, -0.061979226768016815, -0.07821078598499298, -0.031979575753211975, -0.0821773037314415, -0.043053172528743744, -0.013226243667304516, -0.004504022188484669]",negative,"[1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
2,2,585,"[0, 757, 13447, 293, 25, 10, 6707, 6459, 14525, 2156, 2200, 23520, 8, 2038, 14082, 1666, 95, 59, 25, 22577, 8, 30203, 25, 22209, 313, 41123, 128, 21, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', '`', ""manhunter'was.""]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', ""`manhunter'was.""]","[0.02566000446677208, 0.07668755203485489, 0.012978773564100266, -0.0005493092467077076, 0.014729679562151432, 0.04481764882802963, 0.03751591965556145, 0.02861967124044895, 0.032675933092832565, 0.03956972062587738, 0.08696957677602768, 0.03735371306538582, 0.03319366276264191, 0.043451350182294846, 0.024276020005345345, 0.012447575107216835, -0.07234253734350204, 0.08999792486429214]",positive,
3,3,656,"[0, 20235, 12904, 12152, 29, 4008, 31, 258, 707, 8, 5, 7308, 9, 5, 24160, 4311, 2156, 24, 10200, 7, 3014, 258, 10, 672, 9, 10364, 30368, 8, 1050, 12, 8056, 3768, 14, 23829, 5, 2437, 11, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human-scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human-scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","[0.023077119141817093, -0.0038152977358549833, 0.013772130943834782, 0.014778084121644497, 0.02627694234251976, 0.019893502816557884, 0.012076223269104958, 0.003016144735738635, 0.008597607724368572, 0.0018273198511451483, 0.0101100392639637, 0.0056190346367657185, 0.0006159913027659059, 0.003092606319114566, 0.0032135681249201298, 0.06139574199914932, 0.033974096179008484, 0.0679401308298111, 0.003042563097551465, 0.023299647495150566, 0.04392600059509277, 0.024475090205669403, 0.031600553542375565, 0.014482950791716576, 0.0780487209558487, 0.08149068057537079, 0.03109895810484886, 0.03903057053685188, 0.0073166098445653915, 0.01794484443962574, 0.03422807902097702]",positive,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1]"
4,4,758,"[0, 605, 13093, 154, 2653, 10, 828, 41, 1488, 2839, 5580, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","[-0.03195658698678017, -0.03278157860040665, 0.004846641328185797, 0.14520281553268433, 0.03331465646624565]",negative,"[0, 0, 0, 1, 1]"
5,5,830,"[0, 330, 853, 1193, 1396, 8, 6154, 22806, 2045, 7, 28, 11, 10, 3096, 7, 192, 54, 64, 66, 12, 10999, 12, 7257, 5, 97, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out-bad-act', 'the', 'other.']","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out-bad-act', 'the', 'other.']","[-0.007807860616594553, -0.009166918694972992, -0.00054065982112661, -0.0053186723962426186, -0.03769770264625549, 0.0013158174697309732, -0.018035603687167168, -0.009465004317462444, -0.03170587494969368, 0.009054213762283325, 0.019361477345228195, 0.03374701738357544, 0.0002171669329982251, -0.021045008674263954, -0.00036769735743291676, -0.04893522337079048]",negative,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]"
6,6,952,"[0, 17291, 16170, 2156, 17605, 42360, 4463, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['pitiful,', 'slapdash', 'disaster.']","['...', 'pitiful,', 'slapdash', 'disaster.']","[0, 0.16612710058689117, 0.08253684639930725, 0.11293679475784302]",negative,"[0, 1, 0, 0]"
7,7,1050,"[0, 30303, 275, 9, 5, 76, 4230, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['another', 'best', 'of', 'the', 'year', 'selection.']","['another', 'best', 'of', 'the', 'year', 'selection.']","[0.2174159735441208, 0.17615118622779846, 0.07680711150169373, 0.034382522106170654, 0.18388459086418152, 5.583194433711469e-05]",positive,"[1, 0, 0, 0, 1, 0]"
8,8,1453,"[0, 20068, 366, 8, 9074, 5317, 33, 6839, 11877, 480, 49, 1363, 8, 8728, 8556, 2156, 150, 393, 269, 7578, 1538, 2156, 16, 31966, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry', '--', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry', '--', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","[0.0054468815214931965, 0.013391474261879921, 0.0397215262055397, 0.0010534110479056835, 0.0056173489429056644, 0.028369171544909477, 0.10124325752258301, 0.1283896267414093, 0.08471384644508362, 0.0555877611041069, 0.04051884636282921, 0.03884674236178398, 0.052397020161151886, 0.036929622292518616, 0.01846649870276451, 0.03908572718501091, 0.04789792373776436, -0.01941492035984993]",positive,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0]"
9,9,1749,"[0, 46076, 65, 9, 5, 144, 7920, 40327, 9, 10, 657, 7226, 655, 2021, 7, 822, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","[0.06546607613563538, 0.06372332572937012, 0.04947590082883835, 0.03680810704827309, 0.06388139724731445, 0.19556279480457306, 0.10220763087272644, 0.029339665547013283, 0.007989446632564068, 0.06892285495996475, 0.038855113089084625, 0.03035523183643818, 0.012005019001662731, 0.023957278579473495, 0.022485055029392242]",positive,"[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
