,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,lrp,label
0,r2-0019256,"[0, 133, 1808, 8483, 34, 10, 319, 7, 904, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['The', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","['The', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","[-0.041583698242902756, -0.0366373211145401, -0.04688030481338501, -0.0011068545281887054, 0.02822345308959484, -0.024927280843257904, -0.10567847639322281, 0.02812667191028595]",positive
1,r2-0019259,"[0, 100, 439, 7, 4746, 11244, 5675, 13, 5, 78, 86, 15, 127, 4115, 4, 85, 21, 951, 1493, 18, 4115, 98, 38, 399, 75, 33, 1531, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['I', 'went', 'to', 'Campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'It', 'was', 'someone', ""else's"", 'birthday', 'so', 'I', ""didn't"", 'have', 'fun.']","['I', 'went', 'to', 'Campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'It', 'was', 'someone', ""else's"", 'birthday', 'so', 'I', ""didn't"", 'have', 'fun.']","[-0.05756160616874695, 0.005583531688898802, -0.05036173388361931, -0.0034489897079765797, 0.013154057785868645, 0.01033852994441986, -0.023234033957123756, 0.037629321217536926, -0.02784707024693489, 0.00013070148997940123, -0.007607741747051477, 0.005529963411390781, -0.0043189637362957, 0.0814896821975708, 0.04191070795059204, 0.13588960468769073, 0.1392987221479416, 0.00831531174480915, -0.020649004727602005, 0.017659462988376617, -0.007924238219857216]",negative
2,r2-0019260,"[0, 133, 544, 16, 30103, 6, 1085, 780, 4, 85, 16, 372, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['The', 'service', 'is', 'alright,', 'nothing', 'special.', 'It', 'is', 'great.']","['The', 'service', 'is', 'alright,', 'nothing', 'special.', 'It', 'is', 'great.']","[-0.03186527639627457, -0.007782953325659037, 0.0003765295259654522, -0.1309007853269577, 0.07614301145076752, -0.024656886234879494, -0.03561246022582054, 0.06374213099479675, -0.026902567595243454]",positive
3,r2-0019262,"[0, 17212, 21, 365, 1629, 13, 3023, 462, 9366, 19, 27339, 1033, 6, 5373, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","[0.019802052527666092, -0.006853743456304073, 0.12636783719062805, -0.13113680481910706, -0.0613708533346653, -0.021070238202810287, 0.006657167337834835, 0.07777402549982071, 0.01634846068918705]",negative
4,r2-0019263,"[0, 133, 11471, 11, 5, 1537, 32, 21, 45, 2342, 11286, 8, 3820, 19, 19230, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['The', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","['The', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","[-0.10399383306503296, 0.033589642494916916, 0.004295184276998043, -0.09744583070278168, -0.04344523698091507, -0.001032192842103541, 0.06201166287064552, 0.10491286963224411, -0.05920964851975441, -0.0038005849346518517, 0.05920469015836716, 0.03313228860497475, 0.04247991740703583]",negative
5,r2-0019264,"[0, 100, 21, 98, 7785, 14, 42, 689, 29143, 35745, 1070, 8, 29693, 360, 137, 6, 95, 99, 65, 7634, 4549, 13, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['I', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","['I', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","[0.024242162704467773, 0.0038625248707830906, 0.020179398357868195, 0.060033999383449554, -0.005762035492807627, 0.04997530207037926, 0.0676843598484993, -0.030609114095568657, -0.006283794529736042, 0.0004495558387134224, 0.02010461501777172, -0.022283438593149185, 0.04759803041815758, 0.02179325371980667, 0.0009279518271796405, 0.009104572236537933, -0.015253812074661255, 0.047172997146844864, 0.010965107940137386]",negative
6,r2-0019265,"[0, 2387, 512, 938, 75, 447, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['My', 'car', ""wasn't"", 'working.']","['My', 'car', ""wasn't"", 'working.']","[0.034055691212415695, 0.058717984706163406, -0.00500932103022933, -0.019260047003626823]",negative
7,r2-0019266,"[0, 713, 16, 65, 9, 5, 367, 2127, 11, 2461, 38, 348, 551, 127, 512, 7, 55, 87, 683, 4, 85, 269, 10889, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['This', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'Vegas', ""I've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'It', 'really', 'rocks.']","['This', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'Vegas', ""I've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'It', 'really', 'rocks.']","[0.015110510401427746, -0.00700295390561223, -0.02724687196314335, 0.006045200861990452, 0.008033604361116886, -0.02490266226232052, -0.03291142359375954, -0.042914897203445435, 0.016243284568190575, 0.004964659456163645, 0.05201077088713646, -0.018662143498659134, 0.03346254676580429, 0.0048737553879618645, 0.07848097383975983, 0.045341480523347855, -0.0139866778627038, 0.026179496198892593, -0.024537570774555206, 0.12773796916007996]",positive
8,r2-0019267,"[0, 46255, 12988, 9, 18833, 185, 86, 7, 836, 66, 31, 5, 4647, 8, 317, 15, 5, 2103, 116, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['Basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","['Basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","[0.1380850374698639, -0.014299126341938972, -0.045163318514823914, -0.030938832089304924, -0.02601291984319687, -0.022857096046209335, 0.017336148768663406, 0.037621404975652695, -0.008290635421872139, -0.00041754229459911585, -0.0456712432205677, 0.022929958999156952, 0.15470530092716217, 0.07872935384511948, -0.03603294864296913, 0.012321919202804565, 0.007140886504203081]",neutral
9,r2-0019270,"[0, 970, 33, 57, 98, 171, 6587, 383, 11, 42, 76, 9, 2760, 6, 53, 5, 1400, 34, 45, 685, 63, 2842, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['There', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","['There', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","[-0.0005899910465814173, 0.005190068390220404, 0.004937713500112295, 0.01671355776488781, -0.040861960500478745, 0.008553212508559227, 0.0019368157954886556, -0.10623970627784729, 0.0070423223078250885, -0.057730916887521744, 0.007554533425718546, 0.08152489364147186, -0.005064825527369976, -0.023274166509509087, -0.0036242229398339987, -0.021179066970944405, 0.04014188051223755, 0.010471349582076073, 0.032143861055374146, -0.013340440578758717]",positive
