,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,lrp,label,rationale_binary
0,0,146,"[0, 627, 1569, 16, 818, 2198, 12622, 11, 31803, 2156, 2755, 8, 4292, 3722, 6866, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","[0.038599953055381775, -0.03448561951518059, -0.01696951687335968, 0.00025158250355161726, 0.007928800769150257, 0.12237953394651413, 0.19513076543807983, -0.13818632066249847, 0.0029240904841572046, -0.04045524448156357, 0.07371950149536133, -0.011211669072508812, 0.0038504533004015684]",negative,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
1,1,190,"[0, 2262, 11, 909, 42661, 35499, 7017, 42381, 8685, 2389, 480, 24, 128, 29, 5, 19974, 12, 9169, 5313, 20286, 25, 36850, 459, 12, 3512, 9066, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance', '--', ""it's"", 'the', 'sci-fi', 'comedy', 'spectacle', 'as', 'whiffle-ball', 'epic.']","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance', '--', ""it's"", 'the', 'sci-fi', 'comedy', 'spectacle', 'as', 'whiffle-ball', 'epic.']","[0.10235684365034103, -0.007677336689084768, 0.00947524607181549, 0.017805740237236023, 0.004313243553042412, -0.015476505272090435, -0.08276760578155518, -0.20821933448314667, -0.0394473522901535, 0.05819161981344223, -0.004480835050344467, 0.00016507123655173928, 0.006335847079753876, 0.001418248750269413, 0.007470914162695408, -0.037349797785282135]",negative,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
2,2,585,"[0, 757, 13447, 293, 25, 10, 6707, 6459, 14525, 2156, 2200, 23520, 8, 2038, 14082, 1666, 95, 59, 25, 22577, 8, 30203, 25, 22209, 313, 41123, 128, 21, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', '`', ""manhunter'was.""]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', ""`manhunter'was.""]","[-0.022484369575977325, 0.036075517535209656, 0.01774328388273716, 0.040870338678359985, 0.014954701066017151, -0.032866910099983215, -0.0285620279610157, -0.08501561731100082, 0.05296995863318443, 0.021892299875617027, -0.0021496310364454985, 0.00012997824524063617, -0.012513902969658375, 0.03819140046834946, -0.02519598975777626, -0.013025213964283466, -0.04044243320822716, 0.05738125368952751]",positive,
3,3,656,"[0, 20235, 12904, 12152, 29, 4008, 31, 258, 707, 8, 5, 7308, 9, 5, 24160, 4311, 2156, 24, 10200, 7, 3014, 258, 10, 672, 9, 10364, 30368, 8, 1050, 12, 8056, 3768, 14, 23829, 5, 2437, 11, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human-scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human-scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","[0.017876043915748596, 0.037647951394319534, 0.015211785212159157, -0.08167402446269989, -0.00284384423866868, -0.0015029613859951496, 0.07429574429988861, -0.060777243226766586, -0.006608415395021439, -0.006136506330221891, 0.017311064526438713, -0.0012070980155840516, -0.01417601853609085, -0.01893516257405281, -0.032262325286865234, 0.0015407644677907228, -0.03941395506262779, -0.004627402406185865, -0.008983280509710312, -0.01077047549188137, -0.07089884579181671, -0.0025899617467075586, 0.0016532434383407235, 0.005217354744672775, 0.02000189945101738, 0.05639315024018288, 0.001175402314402163, -0.0016754954122006893, -0.0013012673007324338, 0.11320734024047852, 0.01198006235063076]",positive,"[1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1]"
4,4,758,"[0, 605, 13093, 154, 2653, 10, 828, 41, 1488, 2839, 5580, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","[0.05278192460536957, -0.024432653561234474, -0.05750652402639389, -0.1607876718044281, -0.07262574881315231]",negative,"[1, 1, 0, 0, 0]"
5,5,830,"[0, 330, 853, 1193, 1396, 8, 6154, 22806, 2045, 7, 28, 11, 10, 3096, 7, 192, 54, 64, 66, 12, 10999, 12, 7257, 5, 97, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out-bad-act', 'the', 'other.']","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out-bad-act', 'the', 'other.']","[-0.02702832967042923, -0.010325917042791843, -0.003119073109701276, 0.0019681393168866634, -0.132680281996727, -0.013833223842084408, -0.1531846672296524, 0.05356290936470032, 0.011526803486049175, -0.03373808041214943, -0.08084284514188766, -0.012084376066923141, -0.022352106869220734, 0.025853337720036507, 0.006749065592885017, 0.0064059095457196236]",negative,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1]"
6,6,952,"[0, 17291, 16170, 2156, 17605, 42360, 4463, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['pitiful,', 'slapdash', 'disaster.']","['...', 'pitiful,', 'slapdash', 'disaster.']","[0, -0.06468930840492249, -0.0042626019567251205, -0.13970410823822021]",negative,"[1, 0, 0, 0]"
7,7,1050,"[0, 30303, 275, 9, 5, 76, 4230, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['another', 'best', 'of', 'the', 'year', 'selection.']","['another', 'best', 'of', 'the', 'year', 'selection.']","[0.053317997604608536, -0.04655879735946655, 0.06443782150745392, -0.027285883203148842, -0.041620634496212006, 0.006237498018890619]",positive,"[1, 0, 1, 0, 0, 0]"
8,8,1453,"[0, 20068, 366, 8, 9074, 5317, 33, 6839, 11877, 480, 49, 1363, 8, 8728, 8556, 2156, 150, 393, 269, 7578, 1538, 2156, 16, 31966, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry', '--', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry', '--', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","[0.013448415324091911, -0.060677919536828995, -0.014349911361932755, 0.007820142433047295, 0.008792927488684654, 0.031133214011788368, -0.020061606541275978, 0.022804899141192436, -0.011676906608045101, -0.04387405887246132, -0.04533630609512329, 0.004120363853871822, 0.04752449691295624, -0.0668804794549942, 0.028275569900870323, -0.004599189385771751, -0.03843291476368904, -0.015099409967660904]",positive,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
9,9,1749,"[0, 46076, 65, 9, 5, 144, 7920, 40327, 9, 10, 657, 7226, 655, 2021, 7, 822, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","[0.09055666625499725, 0.12967687845230103, -0.04849724844098091, -0.028646506369113922, 0.05894814804196358, 0.01582357846200466, -0.07889879494905472, -0.0939454659819603, 0.033411260694265366, -0.07588645070791245, 0.00843058992177248, -0.06389029324054718, 0.08147286623716354, -0.029986156150698662, -0.0007402870687656105]",positive,"[1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
