,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,lrp,label,rationale_binary
0,0,r2-0019256,"[1, 279, 973, 6364, 303, 266, 509, 264, 630, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['The', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","['The', 'art', 'exhibit', 'has', 'a', 'lot', 'to', 'offer.']","[-0.005470536649227142, 0.008206495083868504, 0.0014615043764933944, 0.00031277324887923896, -0.001647690893150866, 0.0070932540111243725, -0.0028015284333378077, -0.0064512742683291435]",positive,"[0, 1, 1, 0, 0, 1, 0, 0]"
1,1,r2-0019259,"[1, 273, 700, 264, 5363, 106773, 795, 270, 262, 362, 326, 277, 312, 2789, 260, 325, 284, 760, 995, 280, 268, 2789, 324, 273, 590, 280, 297, 286, 785, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['I', 'went', 'to', 'Campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'It', 'was', 'someone', ""else's"", 'birthday', 'so', 'I', ""didn't"", 'have', 'fun.']","['I', 'went', 'to', 'Campagnolo', 'for', 'the', 'first', 'time', 'on', 'my', 'birthday.', 'It', 'was', 'someone', ""else's"", 'birthday', 'so', 'I', ""didn't"", 'have', 'fun.']","[0.00048012041952461004, -0.005518811754882336, -0.0038919292856007814, -0.0013474361039698124, -0.005618673749268055, 0.008353126235306263, -0.0038690362125635147, -0.004301850683987141, 0.0073357257060706615, 0.004184438847005367, -0.00647377735003829, -0.013036717660725117, -0.0013890672707930207, -0.008331055752933025, 0.006646445021033287, 0.002883202163502574, 0.006499116308987141, -0.00382861471734941, 0.005552932154387236, 0.011571353301405907, -0.0030719712376594543]",negative,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]"
2,2,r2-0019260,"[1, 279, 506, 269, 16427, 261, 942, 779, 260, 325, 269, 426, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['The', 'service', 'is', 'alright,', 'nothing', 'special.', 'It', 'is', 'great.']","['The', 'service', 'is', 'alright,', 'nothing', 'special.', 'It', 'is', 'great.']","[-0.004929678980261087, -0.0076149832457304, 0.005924309138208628, -0.006371726281940937, -0.002511821687221527, 0.002954310504719615, 0.0006696729105897248, -0.0003349267062731087, 0.00508457375690341]",positive,"[0, 0, 1, 0, 0, 1, 0, 0, 1]"
3,3,r2-0019262,"[1, 710, 284, 762, 1814, 270, 34985, 5696, 275, 26212, 261, 3286, 300, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","['price', 'was', '11$', 'for', 'xl', 'pizza', 'with', 'toppings,', 'crazy!']","[-0.00235939072445035, 0.003028675215318799, -0.002962713362649083, 0.0005283841164782643, -0.004901777021586895, 0.0038513902109116316, -0.0008076127269305289, 0.006687088403850794, 0.006711969617754221]",negative,"[0, 0, 0, 0, 0, 1, 0, 1, 1]"
4,4,r2-0019263,"[1, 279, 5715, 267, 262, 1019, 281, 284, 298, 32926, 263, 2311, 275, 7967, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['The', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","['The', 'toilet', 'in', 'the', 'common', 'are', 'was', 'not', 'flushing', 'and', 'filled', 'with', 'bugs.']","[-0.006641761399805546, 0.0010187012376263738, 0.008901910856366158, -0.013108077459037304, 0.0012708590365946293, 0.005280072335153818, 0.0037177002523094416, 0.0013612813781946898, -0.0007957544876262546, -0.01670718751847744, 0.006663170643150806, 0.009668978862464428, -0.010166003368794918]",negative,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]"
5,5,r2-0019264,"[1, 273, 284, 324, 2907, 272, 291, 645, 13450, 99146, 263, 18125, 538, 416, 261, 348, 339, 311, 7878, 3349, 270, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['I', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","['I', 'was', 'so', 'glad', 'that', 'this', 'food', 'tasted', 'reheated', 'and', 'boiled', 'days', 'before,', 'just', 'what', 'one', 'pays', 'premium', 'for.']","[-0.0012637402396649122, 0.0022996668703854084, -0.004865341819822788, -0.007333656772971153, -0.002763554686680436, 0.004537280648946762, -0.002836770610883832, -0.007557326462119818, 0.003852670080959797, -0.012926883064210415, 0.00424778088927269, 0.0078582763671875, -0.016610335558652878, -0.011713062413036823, 0.003661893308162689, 0.014449101872742176, -0.0015874655218794942, 0.0024336264468729496, 0.002617575926706195]",negative,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0]"
6,6,r2-0019265,"[1, 573, 640, 1150, 280, 297, 560, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['My', 'car', ""wasn't"", 'working.']","['My', 'car', ""wasn't"", 'working.']","[-0.0016830132808536291, 0.002744803437963128, 0.011353337205946445, 0.0013718893751502037]",negative,"[0, 0, 1, 0]"
7,7,r2-0019266,"[1, 329, 269, 311, 265, 262, 477, 1536, 267, 4434, 273, 280, 415, 854, 312, 640, 264, 310, 354, 704, 260, 325, 431, 6411, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['This', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'Vegas', ""I've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'It', 'really', 'rocks.']","['This', 'is', 'one', 'of', 'the', 'few', 'places', 'in', 'Vegas', ""I've"", 'taken', 'my', 'car', 'to', 'more', 'than', 'once.', 'It', 'really', 'rocks.']","[0.004002837929874659, 0.004776587709784508, 0.0023232849780470133, -0.005156926345080137, 0.0011261579347774386, 0.003244920866563916, -0.0008894525817595422, 0.0025361385196447372, 0.007426212076097727, 0.0019566717091947794, -0.008708255365490913, 0.0022648132871836424, -0.010148083791136742, 0.0029720591846853495, 0.003973754588514566, -0.004182613454759121, 0.005151988007128239, -0.0013681624550372362, 0.00046120616025291383, -4.358495425549336e-05]",positive,"[1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
8,8,r2-0019267,"[1, 8337, 7634, 265, 10051, 413, 326, 264, 861, 321, 292, 262, 1491, 263, 470, 277, 262, 1108, 302, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","['Basic', 'cups', 'of', 'soda', 'take', 'time', 'to', 'bring', 'out', 'from', 'the', 'kitchen', 'and', 'place', 'on', 'the', 'table?']","[0.004678807687014341, -0.004226819612085819, -0.0015270871808752418, -0.0059409667737782, 0.005393745843321085, 0.0011712030973285437, -0.004539091605693102, 0.00968786608427763, -0.0036426354199647903, -0.004122482147067785, 0.0006566643132828176, 0.005638676695525646, -0.002636631252244115, 0.0070122722536325455, 0.00041992837213911116, 0.0051141404546797276, 0.007285004016011953]",negative,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1]"
9,9,r2-0019270,"[1, 443, 286, 331, 324, 386, 4838, 479, 267, 291, 395, 265, 5070, 261, 304, 262, 1106, 303, 298, 1125, 359, 1691, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['There', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","['There', 'have', 'been', 'so', 'many', 'terrible', 'things', 'in', 'this', 'year', 'of', '2020,', 'but', 'the', 'store', 'has', 'not', 'lost', 'its', 'touch.']","[0.00114033545833081, -0.007504777517169714, -0.006062236148864031, 0.006197481881827116, -0.00014661066234111786, -0.003682563081383705, -0.0014957409584894776, 0.004445044789463282, 0.00917260255664587, 0.008824719116091728, -0.0037751237396150827, -0.003461152547970414, -0.003205346642062068, -0.00011723414354491979, 0.0028815059922635555, 0.0020937721710652113, 0.0007700685528106987, 0.0019492111168801785, -0.002573248464614153, 0.00328697613440454]",positive,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
