,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,lrp,label,rationale_binary
0,0,146,"[1, 262, 1421, 269, 823, 1298, 8578, 267, 21276, 366, 2923, 263, 3392, 2955, 8973, 323, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","[-0.0015767619479447603, 0.00025485220248810947, -0.005754298064857721, -0.004898605402559042, 0.004893761593848467, 0.007847052998840809, -0.004966833163052797, 0.004391467664390802, -0.007263979874551296, 0.011110980994999409, -0.009273913688957691, -0.009547526948153973, 0.0052774688228964806]",negative,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1]"
1,1,190,"[1, 842, 267, 937, 17193, 29448, 3878, 267, 93350, 341, 271, 278, 382, 268, 262, 14371, 271, 5863, 5550, 19139, 283, 41136, 2624, 271, 8087, 7244, 323, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance', '--', ""it's"", 'the', 'sci-fi', 'comedy', 'spectacle', 'as', 'whiffle-ball', 'epic.']","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance', '--', ""it's"", 'the', 'sci-fi', 'comedy', 'spectacle', 'as', 'whiffle-ball', 'epic.']","[-0.01055452786386013, -0.0027510032523423433, -0.0028760642744600773, -0.0030669751577079296, 0.011761748231947422, 0.005661423318088055, -0.0036339019425213337, -0.0013896077871322632, -0.0030801696702837944, 0.003869023872539401, -0.016022149473428726, 0.0014955177903175354, 0.0033601741306483746, -0.003672316437587142, -0.004847531206905842, 0.006150128319859505]",negative,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
2,2,585,"[1, 57489, 283, 266, 38176, 9531, 366, 1344, 9804, 263, 904, 9428, 323, 260, 260, 348, 314, 283, 20293, 263, 29919, 283, 9043, 642, 38547, 382, 284, 323, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', '`', ""manhunter'was.""]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', ""`manhunter'was.""]","[0.011262740008533001, -0.0057823495008051395, 0.002684775972738862, 0.009384768083691597, -0.0034353826195001602, 0.0015775100328028202, 0.002022095490247011, -0.0018635833403095603, 0.003055448643863201, -0.0013108320999890566, 0.007841309532523155, 0.002338671125471592, 0.0036420635879039764, 0.004007747862488031, -0.005207098089158535, -0.002652317052707076, -0.006148418411612511, -0.0008265262003988028]",positive,
3,3,656,"[1, 438, 10758, 65090, 4605, 292, 462, 1720, 263, 262, 6266, 265, 262, 36403, 366, 278, 8393, 264, 2006, 462, 266, 674, 265, 5841, 23931, 263, 857, 271, 5609, 1855, 272, 37535, 262, 1976, 267, 323, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human-scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human-scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","[-0.005871453322470188, -0.0027984189800918102, 0.0050751869566738605, -0.0033074291422963142, 0.006578217260539532, -0.0037924915086477995, 0.005097012035548687, 0.0020123061258345842, -0.003462780499830842, -0.0013527680421248078, -0.0017139073461294174, 0.021517477929592133, 0.0002112428774125874, -0.0032508063595741987, -0.0014102681307122111, -0.008481486700475216, -0.002809865167364478, -0.009089674800634384, -0.0038401037454605103, 0.001555069931782782, 0.0041777025908231735, -0.005944464821368456, -0.004321221727877855, 0.009774635545909405, -0.008678000420331955, -0.0038743633776903152, -0.009985009208321571, -0.0008593953098170459, 0.000578622508328408, -0.005300917662680149, -0.00467548705637455]",positive,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
4,4,758,"[1, 1787, 2576, 266, 717, 84339, 323, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","[-0.004646584391593933, 0.016199227422475815, 0.002185096964240074, 0.009643635712563992, 0.006369292736053467]",negative,"[0, 1, 0, 1, 0]"
5,5,830,"[1, 65612, 268, 68062, 263, 18528, 47989, 1329, 264, 282, 267, 266, 4354, 264, 398, 328, 295, 321, 271, 11573, 271, 15482, 262, 340, 323, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out-bad-act', 'the', 'other.']","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out-bad-act', 'the', 'other.']","[0.0014488789020106196, 0.0009995471918955445, 0.08701471239328384, -0.008211109787225723, 0.0016175975324586034, 0.004630356561392546, -0.007486354093998671, -0.00661388598382473, -0.005592972971498966, -0.004755317233502865, 0.001744925626553595, 0.0006283979746513069, -0.008615536615252495, -0.0012260054936632514, 0.0005532331997528672, 0.005159258842468262]",negative,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
6,6,952,"[1, 45424, 366, 18933, 27489, 5069, 323, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['pitiful,', 'slapdash', 'disaster.']","['...', 'pitiful,', 'slapdash', 'disaster.']","[0, 0.0012794580543413758, -0.0021185518708080053, -0.0037145796231925488]",negative,"[0, 1, 0, 0]"
7,7,1050,"[1, 501, 410, 265, 262, 395, 1857, 323, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['another', 'best', 'of', 'the', 'year', 'selection.']","['another', 'best', 'of', 'the', 'year', 'selection.']","[0.003408953081816435, -0.014363568276166916, -0.007008897140622139, 0.0015962840989232063, -0.004791721235960722, -0.0011032873298972845]",positive,"[1, 0, 0, 1, 0, 0]"
8,8,1453,"[1, 718, 45555, 263, 59053, 3212, 286, 6613, 7545, 341, 271, 308, 2749, 263, 5283, 5930, 366, 438, 518, 431, 7526, 4666, 366, 269, 31107, 323, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry', '--', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry', '--', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","[-0.006285478826612234, -5.1713624998228624e-05, 0.0009766644798219204, -0.004289285745471716, -0.002080838195979595, 0.0016347822966054082, 0.0036859253887087107, 0.0008138681878335774, 0.0013552618911489844, 0.0010310254292562604, -0.0002935315133072436, 0.003904919372871518, 0.0029757055453956127, -0.0006452630623243749, 0.00016159551159944385, -0.006848336197435856, -0.009034929797053337, -0.007643606513738632]",positive,"[0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0]"
9,9,1749,"[1, 830, 311, 265, 262, 370, 7264, 40287, 265, 266, 472, 8083, 632, 2484, 264, 933, 323, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","[-0.0002792156010400504, 0.002247682772576809, -0.003506747540086508, -0.0039941854774951935, -0.005482060834765434, -0.008562423288822174, 0.006055431440472603, -0.004237748216837645, 0.004507084842771292, -0.0036587119102478027, -0.008338776417076588, -0.003235431620851159, -0.002057140925899148, -0.0033424498979002237, 0.0036604711785912514]",positive,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
