,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,lrp,label,rationale_binary
0,0,146,"[101, 1996, 3185, 2003, 2471, 3294, 11158, 1999, 23873, 1010, 4474, 1998, 8335, 6832, 10652, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","[0.0075932578183710575, 0.03954075276851654, -0.047005731612443924, 0.003391655394807458, -0.020863795652985573, 0.0035880692303180695, 0.000719251052942127, -0.11782802641391754, -0.001131370197981596, 0.0052712904289364815, 0.00605438370257616, -0.038672082126140594, 0.012904092669487]",negative,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
1,1,190,"[101, 2273, 1999, 2304, 2462, 6162, 2015, 7209, 16021, 23773, 18513, 6651, 1011, 1011, 2009, 1005, 1055, 1996, 16596, 1011, 10882, 4038, 21177, 2004, 1059, 25798, 2571, 1011, 3608, 8680, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance', '-', '-', ""it's"", 'the', 'sci', '-', 'fi', 'comedy', 'spectacle', 'as', 'whiffle', '-', 'ball', 'epic.']","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance--', ""it's"", 'the', 'sci-fi', 'comedy', 'spectacle', 'as', 'whiffle-ball', 'epic.']","[-0.289216011762619, 0.002818567445501685, 0.014037310145795345, -0.006518623325973749, -0.012273411266505718, -0.0016405039932578802, 0.04356622905470431, 0.02266526408493519, -0.00561422947794199, 0.001668615557719022, -0.0010182192781940103, -0.0017866851994767785, -0.015370544046163559, -0.011127535253763199, 0.05689072236418724]",positive,
2,2,585,"[101, 17894, 2229, 2004, 1037, 8066, 7699, 9240, 1010, 3811, 12853, 1998, 2658, 6789, 1012, 1012, 1012, 2074, 2055, 2004, 27017, 1998, 4895, 21678, 2989, 2004, 1036, 2158, 25629, 1005, 2001, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', '`', ""manhunter'was.""]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', ""`manhunter'was.""]","[0.08314923942089081, -0.002649056725203991, 0.0004275466490071267, -0.0020997559186071157, -0.005608570761978626, -0.020157810300588608, -0.009848042391240597, 0.0014860345982015133, 0.0005713179707527161, 0.022145699709653854, -0.0070954738184809685, 0.0009457881096750498, 0.01763424463570118, 0.01537259854376316, 0.005744625814259052, -0.0013306187465786934, -0.008298628963530064, -0.01840926893055439]",positive,
3,3,656,"[101, 2096, 11660, 17781, 2015, 4600, 2013, 2119, 2698, 1998, 1996, 4223, 1997, 1996, 12559, 2015, 1010, 2009, 9020, 2000, 5441, 2119, 1037, 2504, 1997, 12138, 20014, 27611, 1998, 2529, 1011, 4094, 3494, 2008, 11891, 1996, 4378, 1999, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human', '-', 'scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human-scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","[-0.004193466622382402, -0.0072483825497329235, -0.012615569867193699, -0.0010455134324729443, -0.007709053810685873, 0.0003195129393134266, 8.881586836650968e-05, 0.08037645369768143, -0.01108318381011486, 0.033228907734155655, -0.21442431211471558, 0.0008154257666319609, -0.004160152282565832, -0.0003391237696632743, -0.0010021437192335725, -0.003479279112070799, -0.003115970641374588, -0.0020879353396594524, 0.00042826609569601715, -0.0007882856298238039, -0.000561567663680762, -0.0025380605366081, 0.0010732243536040187, 0.0001758760481607169, 0.03374453540891409, -0.0014655268751084805, -0.026932233944535255, -0.0043168943375349045, -0.0014228576328605413, 0.027017951011657715, -0.0013205454451963305]",positive,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0]"
4,4,758,"[101, 5030, 5683, 1037, 2978, 9617, 2818, 4948, 6553, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","[0.020387904718518257, 0.047106340527534485, 0.023847272619605064, -0.0013489172561094165, -0.004123196471482515]",negative,"[0, 1, 1, 0, 0]"
5,5,830,"[101, 11382, 2869, 28989, 1998, 9747, 4025, 2000, 2022, 1999, 1037, 5049, 2000, 2156, 2040, 2064, 2041, 1011, 2919, 1011, 2552, 1996, 2060, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out', '-', 'bad', '-', 'act', 'the', 'other.']","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out-bad', '-', 'act', 'the', 'other.']","[-0.011866423301398754, -0.009460525587201118, 0.034101396799087524, 0.022115280851721764, -0.0289349053055048, 0.3118329346179962, -0.005834407173097134, -0.10315841436386108, 0.002065514912828803, 0.012542026117444038, 0.0021313682664185762, -0.001978321000933647, 0.03354060649871826, 0.0033853659260785207, -0.01003634836524725, 0.0009487163042649627, -0.003128485754132271, -0.007827911525964737]",negative,
6,6,952,"[101, 6770, 18424, 1010, 14308, 8883, 2232, 7071, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['pitiful,', 'slapdash', 'disaster.']","['...', 'pitiful,', 'slapdash', 'disaster.']","[0, 0.05865755304694176, 0.04857785627245903, 0.0018421933054924011]",negative,"[0, 1, 0, 0]"
7,7,1050,"[101, 2178, 2190, 1997, 1996, 2095, 4989, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['another', 'best', 'of', 'the', 'year', 'selection.']","['another', 'best', 'of', 'the', 'year', 'selection.']","[0.26399973034858704, -0.00015086334315128624, -0.007539001293480396, 0.011285418644547462, -0.004942125175148249, -0.27371707558631897]",positive,"[1, 0, 0, 1, 0, 0]"
8,8,1453,"[101, 16475, 2891, 1998, 16220, 2884, 2031, 14388, 6370, 1011, 1011, 2037, 4424, 1998, 6298, 6980, 1010, 2096, 2196, 2428, 5554, 3550, 1010, 2003, 14412, 4502, 3468, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry', '-', '-', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry--', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","[-0.005736189894378185, -0.005674360319972038, -0.015581543557345867, -0.008272058330476284, -0.00036363626713864505, -0.0062385438941419125, -0.0050262222066521645, -0.0004040123021695763, 0.00512680085375905, 0.036297507584095, -0.032389022409915924, 0.01641983911395073, -0.009674090892076492, -0.0012463354505598545, 0.009084419347345829, 0.005768444389104843, -0.027442624792456627]",positive,
9,9,1749,"[101, 2838, 2028, 1997, 1996, 2087, 12473, 20818, 1997, 1037, 2293, 6771, 2412, 5462, 2000, 2143, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","[-0.06668924540281296, -0.003917246125638485, 0.01619052328169346, -0.03118002973496914, -0.022606372833251953, 0.05873696506023407, -0.010292991064488888, 0.00883259903639555, 0.012121681123971939, -0.0007124257390387356, -0.004492408595979214, 0.08663604408502579, -0.006567962467670441, -0.042096007615327835, -0.010826271958649158]",positive,"[0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
