,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,lrp,label,rationale_binary
0,0,146,"[0, 627, 1569, 16, 818, 2198, 12622, 11, 31803, 2156, 2755, 8, 4292, 3722, 6866, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","['the', 'movie', 'is', 'almost', 'completely', 'lacking', 'in', 'suspense,', 'surprise', 'and', 'consistent', 'emotional', 'conviction.']","[0.027082815766334534, 0.035217054188251495, 0.042915526777505875, -0.004719522316008806, 0.05070705711841583, -0.10896483808755875, 0.020920835435390472, -0.12491472065448761, 0.19531895220279694, -0.025642812252044678, -0.018624674528837204, 0.009875146672129631, 0.01376131922006607]",negative,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
1,1,190,"[0, 2262, 11, 909, 42661, 35499, 7017, 42381, 8685, 2389, 480, 24, 128, 29, 5, 19974, 12, 9169, 5313, 20286, 25, 36850, 459, 12, 3512, 9066, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance', '--', ""it's"", 'the', 'sci-fi', 'comedy', 'spectacle', 'as', 'whiffle-ball', 'epic.']","['men', 'in', 'black', 'ii', 'achieves', 'ultimate', 'insignificance', '--', ""it's"", 'the', 'sci-fi', 'comedy', 'spectacle', 'as', 'whiffle-ball', 'epic.']","[-0.00736782792955637, -0.04042699187994003, -0.006299910135567188, -0.07003048062324524, 0.07070690393447876, -0.007006813306361437, -0.008629506453871727, 0.07072966545820236, 0.1115819662809372, 0.027931781485676765, 0.024401674047112465, 0.0348004512488842, 0.03670232743024826, 0.025851011276245117, 0.04837696999311447, 0.021450530737638474]",negative,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0]"
2,2,585,"[0, 757, 13447, 293, 25, 10, 6707, 6459, 14525, 2156, 2200, 23520, 8, 2038, 14082, 1666, 95, 59, 25, 22577, 8, 30203, 25, 22209, 313, 41123, 128, 21, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', '`', ""manhunter'was.""]","['impresses', 'as', 'a', 'skillfully', 'assembled,', 'highly', 'polished', 'and', 'professional', 'adaptation...', 'just', 'about', 'as', 'chilling', 'and', 'unsettling', 'as', ""`manhunter'was.""]","[-0.006027664057910442, 0.0030888058245182037, -0.0112150302156806, -0.023962927982211113, -0.02614304982125759, -0.026138460263609886, 0.0018172685522586107, -0.0013535590842366219, -0.0400342158973217, -0.035540323704481125, -0.04868878424167633, -0.03479664400219917, 0.005780130159109831, 0.03570488467812538, -0.025257615372538567, 0.02577192336320877, 0.0015765853459015489, 0.02828572876751423]",positive,
3,3,656,"[0, 20235, 12904, 12152, 29, 4008, 31, 258, 707, 8, 5, 7308, 9, 5, 24160, 4311, 2156, 24, 10200, 7, 3014, 258, 10, 672, 9, 10364, 30368, 8, 1050, 12, 8056, 3768, 14, 23829, 5, 2437, 11, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human-scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","['while', 'tattoo', 'borrows', 'heavily', 'from', 'both', 'seven', 'and', 'the', 'silence', 'of', 'the', 'lambs,', 'it', 'manages', 'to', 'maintain', 'both', 'a', 'level', 'of', 'sophisticated', 'intrigue', 'and', 'human-scale', 'characters', 'that', 'suck', 'the', 'audience', 'in.']","[-0.013322261162102222, 0.017702950164675713, -0.017119139432907104, 0.008029067888855934, -0.029813215136528015, 0.01935599371790886, -0.02477361261844635, 0.0013071120483800769, 0.009254067204892635, 0.021331777796149254, -0.011823883280158043, 0.03080691583454609, 0.007923072203993797, -0.031382929533720016, -0.04208384454250336, -0.013109167106449604, -0.005779128521680832, -0.01079798024147749, 0.008773963898420334, -0.020682096481323242, 0.022808127105236053, 0.008253395557403564, -0.006183241028338671, -0.0178216639906168, -0.004453252535313368, -0.00815258827060461, -0.005332955624908209, 0.017788216471672058, -0.008462254889309406, 0.02503388747572899, 0.032008249312639236]",positive,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
4,4,758,"[0, 605, 13093, 154, 2653, 10, 828, 41, 1488, 2839, 5580, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","['wedding', 'feels', 'a', 'bit', 'anachronistic.']","[0.060828566551208496, -0.044399190694093704, -0.0023491238243877888, -0.04509134590625763, 0.04225101321935654]",negative,"[1, 0, 0, 0, 1]"
5,5,830,"[0, 330, 853, 1193, 1396, 8, 6154, 22806, 2045, 7, 28, 11, 10, 3096, 7, 192, 54, 64, 66, 12, 10999, 12, 7257, 5, 97, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out-bad-act', 'the', 'other.']","['kirshner', 'and', 'monroe', 'seem', 'to', 'be', 'in', 'a', 'contest', 'to', 'see', 'who', 'can', 'out-bad-act', 'the', 'other.']","[-0.05167996138334274, 0.014537209644913673, 0.025380613282322884, 0.013616946525871754, 0.0897241085767746, -0.0083848237991333, 0.018666697666049004, 0.09992297738790512, 0.06948057562112808, 0.02637569233775139, 0.018389344215393066, 0.0009629777050577104, 0.015749484300613403, 0.010584110394120216, 0.04328159987926483, 0.020209161564707756]",negative,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0]"
6,6,952,"[0, 17291, 16170, 2156, 17605, 42360, 4463, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['pitiful,', 'slapdash', 'disaster.']","['...', 'pitiful,', 'slapdash', 'disaster.']","[0, -0.0702587366104126, 0.031052984297275543, 0.16547417640686035]",negative,"[0, 0, 0, 1]"
7,7,1050,"[0, 30303, 275, 9, 5, 76, 4230, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['another', 'best', 'of', 'the', 'year', 'selection.']","['another', 'best', 'of', 'the', 'year', 'selection.']","[-0.032698407769203186, 0.01892758533358574, 0.05272569879889488, -0.1591397225856781, -0.03251580521464348, -0.03691441938281059]",positive,"[0, 1, 1, 0, 0, 0]"
8,8,1453,"[0, 20068, 366, 8, 9074, 5317, 33, 6839, 11877, 480, 49, 1363, 8, 8728, 8556, 2156, 150, 393, 269, 7578, 1538, 2156, 16, 31966, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry', '--', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","['devos', 'and', 'cassel', 'have', 'tremendous', 'chemistry', '--', 'their', 'sexual', 'and', 'romantic', 'tension,', 'while', 'never', 'really', 'vocalized,', 'is', 'palpable.']","[-0.0032016346231102943, 0.01673831045627594, -0.004945416934788227, -0.029171228408813477, -0.0006957186269573867, 0.06080005690455437, -0.004424238111823797, 0.028412921354174614, -0.045826505869627, 0.005659748334437609, -0.012317553162574768, -0.018633481115102768, 0.00022641981195192784, 0.02340693026781082, -0.019626228138804436, 0.011852351017296314, 0.028220675885677338, -0.0006893263198435307]",positive,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]"
9,9,1749,"[0, 46076, 65, 9, 5, 144, 7920, 40327, 9, 10, 657, 7226, 655, 2021, 7, 822, 479, 1437, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","['features', 'one', 'of', 'the', 'most', 'affecting', 'depictions', 'of', 'a', 'love', 'affair', 'ever', 'committed', 'to', 'film.']","[-0.0571654811501503, -0.02458496391773224, -0.013313554227352142, 0.027600610628724098, -0.025006579235196114, -0.07541674375534058, -0.006220104172825813, -0.024486739188432693, -0.03268727287650108, -0.002663601888343692, -0.004059297498315573, 0.042822759598493576, -0.010772120207548141, -0.04858936369419098, -0.006178653798997402]",positive,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1]"
